wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_old_time,video_current_time,video_seek_type
2014-09-28 21:02:13.000000,load_video,None,,,,None,
2014-09-28 21:25:14.000000,load_video,None,,,,None,
2014-09-28 21:25:17.000000,play_video,0,,,,0,
2014-09-28 21:25:38.000000,pause_video,40.772297,,,,40.772297,
2014-09-28 21:25:45.000000,play_video,40.772297,,,,40.772297,
2014-09-28 21:25:46.000000,pause_video,43.101773,,,,43.101773,
2014-09-28 21:25:46.000000,play_video,43.101773,,,,43.101773,
2014-09-28 21:25:48.000000,pause_video,45.119665,,,,45.119665,
2014-09-28 21:25:48.000000,play_video,45.119665,,,,45.119665,
2014-09-28 21:26:08.000000,pause_video,84.294042,,,,84.294042,
2014-09-28 21:26:14.000000,play_video,84.294042,,,,84.294042,
2014-09-28 21:26:18.000000,pause_video,93.234438,,,,93.234438,
2014-09-28 21:26:21.000000,play_video,93.234438,,,,93.234438,
2014-09-28 21:26:58.000000,pause_video,167.430655,,,,167.430655,
2014-09-28 21:26:59.000000,play_video,167.430655,,,,167.430655,
2014-09-28 21:27:10.000000,pause_video,189.446358,,,,189.446358,
2014-09-28 21:27:11.000000,play_video,189.446358,,,,189.446358,
2014-09-28 21:27:14.000000,pause_video,195.570449,,,,195.570449,
2014-09-28 21:27:17.000000,play_video,195.570449,,,,195.570449,
2014-09-28 21:27:18.000000,pause_video,199.021291,,,,199.021291,
2014-09-28 21:27:19.000000,play_video,199.021291,,,,199.021291,
2014-09-28 21:27:21.000000,pause_video,202.402487,,,,202.402487,
2014-09-28 21:27:55.000000,play_video,202.402487,,,,202.402487,
2014-09-28 21:28:13.000000,pause_video,237.534145,,,,237.534145,
2014-09-28 21:29:10.000000,play_video,237.534145,,,,237.534145,
2014-09-28 21:29:35.000000,pause_video,286.812193,,,,286.812193,
2014-09-28 21:30:00.000000,play_video,286.812193,,,,286.812193,
2014-09-28 21:30:01.000000,pause_video,288.660018,,,,288.660018,
2014-09-28 21:30:08.000000,play_video,288.660018,,,,288.660018,
2014-09-28 21:31:01.000000,pause_video,393.618422,,,,393.618422,
2014-09-28 21:31:23.000000,play_video,393.618422,,,,393.618422,
2014-09-28 21:31:54.000000,pause_video,456.302911,,,,456.302911,
2014-09-28 21:32:18.000000,speed_change_video,None,1.0,2.0,,None,
2014-09-28 21:32:19.000000,play_video,456.302911,,,,456.302911,
2014-09-28 21:32:30.000000,pause_video,466.922956,,,,466.922956,
2014-09-28 21:32:30.000000,play_video,466.922956,,,,466.922956,
2014-09-28 21:32:33.000000,pause_video,469.294693,,,,469.294693,
2014-09-28 21:32:33.000000,play_video,469.294693,,,,469.294693,
2014-09-28 21:32:45.000000,pause_video,481.487687,,,,481.487687,
2014-09-28 21:32:45.000000,stop_video,481.487687,,,,481.487687,
2014-10-01 06:41:33.000000,load_video,None,,,,None,
2014-10-01 06:41:47.000000,play_video,0,,,,0,
2014-10-01 06:41:53.000000,speed_change_video,None,2.0,1.0,,None,
2014-10-01 06:43:15.000000,seek_video,,,,168.099057,,onSlideSeek
2014-10-01 06:43:15.000000,play_video,168.099057,,,,168.099057,
2014-10-01 06:43:17.000000,speed_change_video,None,1.0,2.0,,None,
2014-10-01 06:43:27.000000,pause_video,164.612759,,,,164.612759,
2014-10-01 06:43:31.000000,play_video,164.612759,,,,164.612759,
2014-10-01 06:43:33.000000,speed_change_video,None,1.50,1.0,,None,
2014-10-01 06:43:39.000000,speed_change_video,None,2.0,1.50,,None,
2014-10-01 06:45:25.000000,pause_video,387.342841,,,,387.342841,
2014-10-01 06:45:44.000000,play_video,387.342841,,,,387.342841,
2014-10-01 06:46:14.000000,pause_video,448.124623,,,,448.124623,
2014-10-01 06:46:18.000000,play_video,448.124623,,,,448.124623,
2014-10-01 06:46:22.000000,pause_video,456.697575,,,,456.697575,
2014-10-01 06:46:23.000000,play_video,456.697575,,,,456.697575,
2014-10-01 06:46:24.000000,pause_video,458.738937,,,,458.738937,
2014-10-01 06:46:25.000000,play_video,458.738937,,,,458.738937,
2014-10-01 06:46:36.000000,pause_video,481.329289,,,,481.329289,
2014-10-01 06:46:37.000000,stop_video,481.329289,,,,481.329289,
2014-10-22 17:57:44.000000,load_video,None,,,,None,
2014-10-22 17:57:49.000000,play_video,0,,,,0,
2014-10-22 17:57:59.000000,seek_video,,,,8.933673,,onSlideSeek
2014-10-22 17:57:59.000000,play_video,8.933673,,,,8.933673,
2014-10-22 17:58:10.000000,speed_change_video,None,1.0,2.0,,None,
2014-10-22 17:58:11.000000,play_video,168.266666,,,,168.266666,
2014-10-22 17:58:34.000000,seek_video,,,,190.733423,,onSlideSeek
2014-10-22 17:58:34.000000,play_video,190.733423,,,,190.733423,
2014-10-22 17:58:35.000000,seek_video,,,,251.866734,,onSlideSeek
2014-10-22 17:58:36.000000,play_video,251.866734,,,,251.866734,
2014-10-22 17:58:41.000000,seek_video,,,,216.200453,,onSlideSeek
2014-10-22 17:58:41.000000,play_video,216.200453,,,,216.200453,
2014-10-22 17:58:45.000000,seek_video,,,,235.533673,,onSlideSeek
2014-10-22 17:58:45.000000,play_video,235.533673,,,,235.533673,
2014-10-22 17:58:48.000000,seek_video,,,,286.866916,,onSlideSeek
2014-10-22 17:58:48.000000,play_video,286.866916,,,,286.866916,
2014-10-22 17:58:57.000000,pause_video,328.666666,,,,328.666666,
2014-10-22 17:59:00.000000,play_video,328.666666,,,,328.666666,
2014-10-22 18:00:11.000000,speed_change_video,None,1.50,1.0,,None,
2014-10-22 18:00:53.000000,pause_video,462.222755,,,,462.222755,
2014-10-22 18:00:56.000000,play_video,462.222755,,,,462.222755,
2014-10-22 18:01:08.000000,pause_video,481.251054,,,,481.251054,
2014-10-22 18:01:08.000000,stop_video,481.251054,,,,481.251054,
