wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_old_time,video_current_time,video_seek_type
2014-09-24 15:25:18.000000,load_video,None,,,,None,
2014-10-01 00:32:08.000000,load_video,None,,,,None,
2014-10-01 00:32:49.000000,load_video,None,,,,None,
2014-10-01 00:35:14.000000,play_video,0,,,,0,
2014-10-01 00:35:18.000000,speed_change_video,None,1.50,2.0,,None,
2014-10-01 00:35:22.000000,speed_change_video,None,1.0,1.50,,None,
2014-10-01 00:35:32.000000,play_video,19.940158,,,,19.940158,
2014-10-01 00:35:34.000000,speed_change_video,None,1.50,1.0,,None,
2014-10-01 00:35:48.000000,play_video,39.281382,,,,39.281382,
2014-10-01 00:36:26.000000,play_video,90.085555,,,,90.085555,
2014-10-01 00:36:31.000000,play_video,95.486371,,,,95.486371,
2014-10-01 00:36:34.000000,play_video,96.115578,,,,96.115578,
