wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-12-07 01:23:05.000000,load_video,None,,,,None,
2014-12-07 01:23:11.000000,load_video,None,,,,None,
2014-12-07 01:40:41.000000,load_video,None,,,,None,
2014-12-07 01:56:18.000000,load_video,None,,,,None,
2014-12-07 01:56:19.000000,play_video,0,,,,0,
2014-12-07 01:58:40.000000,seek_video,,,,211.126562,,onSlideSeek
2014-12-07 01:58:40.000000,play_video,211.126562,,,,211.126562,
2014-12-07 01:58:51.000000,seek_video,,,,210.910017,,onSlideSeek
2014-12-07 01:58:52.000000,play_video,210.910017,,,,210.910017,
2014-12-07 01:59:00.000000,seek_video,,,,191.427117,,onSlideSeek
2014-12-07 01:59:00.000000,play_video,191.427117,,,,191.427117,
2014-12-07 01:59:47.000000,seek_video,,,,239.48706,,onSlideSeek
2014-12-07 01:59:47.000000,play_video,239.48706,,,,239.48706,
2014-12-07 01:59:49.000000,seek_video,,,,215.978417,,onSlideSeek
2014-12-07 01:59:49.000000,play_video,215.978417,,,,215.978417,
2014-12-07 02:00:27.000000,pause_video,262.963367,,,,262.963367,
2014-12-07 02:00:27.000000,stop_video,262.963367,,,,262.963367,
2014-12-08 00:00:00.000000,load_video,None,,,,None,
2014-12-08 00:00:02.000000,play_video,262,,,,262,
2014-12-08 00:00:03.000000,pause_video,263.314397,,,,263.314397,
2014-12-08 00:00:03.000000,stop_video,263.314397,,,,263.314397,
2014-12-08 00:00:04.000000,play_video,263.314397,,,,263.314397,
2014-12-08 00:00:04.000000,play_video,0,,,,0,
2014-12-08 00:02:20.000000,load_video,None,,,,None,
