wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_old_time,video_current_time,video_seek_type
2014-10-13 04:06:14.000000,load_video,None,,,,None,
2014-10-13 04:06:16.000000,play_video,0,,,,0,
2014-10-13 04:10:14.000000,seek_video,,,,474.926895,,onSlideSeek
2014-10-13 04:10:14.000000,play_video,474.926895,,,,474.926895,
2014-10-13 04:10:15.000000,seek_video,,,,549.445137,,onSlideSeek
2014-10-13 04:10:15.000000,play_video,549.445137,,,,549.445137,
2014-10-13 04:10:17.000000,seek_video,,,,602.661179,,onSlideSeek
2014-10-13 04:10:17.000000,play_video,602.661179,,,,602.661179,
2014-10-13 04:10:34.000000,pause_video,719.625015,,,,719.625015,
2014-10-13 04:10:34.000000,stop_video,719.625015,,,,719.625015,
2014-10-19 22:57:13.000000,load_video,None,,,,None,
2014-10-19 23:25:54.000000,load_video,None,,,,None,
2014-10-19 23:44:17.000000,load_video,None,,,,None,
2014-10-19 23:44:19.000000,play_video,719,,,,719,
2014-10-19 23:44:19.000000,pause_video,719.855112,,,,719.855112,
2014-10-19 23:44:19.000000,stop_video,719.855112,,,,719.855112,
2014-10-19 23:44:20.000000,play_video,719.855112,,,,719.855112,
2014-10-19 23:44:21.000000,play_video,0,,,,0,
2014-10-19 23:44:32.000000,pause_video,21.915021,,,,21.915021,
2014-10-20 06:22:47.000000,load_video,None,,,,None,
2014-10-20 06:22:49.000000,play_video,21,,,,21,
2014-10-20 06:23:00.000000,pause_video,41.889588,,,,41.889588,
2014-10-20 06:23:16.000000,play_video,41.889588,,,,41.889588,
2014-10-20 06:23:23.000000,seek_video,,,,56.418964,,onSlideSeek
2014-10-20 06:23:24.000000,play_video,56.418964,,,,56.418964,
2014-10-20 06:23:34.000000,pause_video,158.165898,,,,158.165898,
2014-10-20 06:23:37.000000,play_video,158.165898,,,,158.165898,
2014-10-20 06:25:17.000000,pause_video,359.312648,,,,359.312648,
2014-10-20 06:25:25.000000,play_video,359.312648,,,,359.312648,
2014-10-20 06:25:44.000000,pause_video,397.480482,,,,397.480482,
2014-10-20 06:25:52.000000,play_video,397.480482,,,,397.480482,
2014-10-20 06:26:31.000000,pause_video,477.084398,,,,477.084398,
2014-10-20 06:26:38.000000,play_video,477.084398,,,,477.084398,
2014-10-20 06:26:39.000000,pause_video,480.362919,,,,480.362919,
2014-10-20 06:26:41.000000,play_video,480.362919,,,,480.362919,
2014-10-20 06:26:42.000000,pause_video,481.763856,,,,481.763856,
2014-10-20 06:26:43.000000,play_video,481.763856,,,,481.763856,
2014-10-20 06:28:41.000000,pause_video,719.221002,,,,719.221002,
