wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_old_time,video_current_time,video_seek_type
2014-10-04 00:28:33.000000,load_video,None,,,,None,
2014-10-04 00:28:35.000000,play_video,0,,,,0,
2014-10-04 00:29:38.000000,pause_video,93.036684,,,,93.036684,
2014-10-04 01:01:20.000000,play_video,93.036684,,,,93.036684,
2014-10-04 01:02:56.000000,pause_video,238.462311,,,,238.462311,
2014-10-04 01:02:59.000000,seek_video,,,,238.462311,,onSlideSeek
2014-10-04 01:03:00.000000,play_video,207,,,,207,
2014-10-04 01:03:54.000000,pause_video,288.390017,,,,288.390017,
2014-10-04 01:04:10.000000,play_video,288.390017,,,,288.390017,
2014-10-04 01:04:10.000000,seek_video,,,,289.273961,,onSlideSeek
2014-10-04 01:04:10.000000,play_video,289.273961,,,,289.273961,
2014-10-04 01:04:50.000000,pause_video,329.173186,,,,329.173186,
2014-10-04 01:05:04.000000,play_video,329.173186,,,,329.173186,
2014-10-04 01:06:45.000000,pause_video,481.28621,,,,481.28621,
2014-10-04 01:06:45.000000,stop_video,481.28621,,,,481.28621,
2014-10-04 07:27:35.000000,load_video,None,,,,None,
2014-10-04 07:27:44.000000,play_video,0,,,,0,
2014-10-04 07:27:46.000000,seek_video,,,,2.273742,,onSlideSeek
2014-10-04 07:27:46.000000,play_video,2.273742,,,,2.273742,
2014-10-04 07:27:47.000000,seek_video,,,,23.078314,,onSlideSeek
2014-10-04 07:27:47.000000,play_video,23.078314,,,,23.078314,
2014-10-04 07:27:48.000000,seek_video,,,,47.052506,,onSlideSeek
2014-10-04 07:27:48.000000,play_video,47.052506,,,,47.052506,
2014-10-04 07:27:50.000000,pause_video,75.264185,,,,75.264185,
2014-10-04 07:29:06.000000,play_video,75.264185,,,,75.264185,
2014-10-04 07:29:17.000000,seek_video,,,,91.524985,,onSlideSeek
2014-10-04 07:29:17.000000,play_video,91.524985,,,,91.524985,
2014-10-04 07:29:18.000000,seek_video,,,,102.261546,,onSlideSeek
2014-10-04 07:29:19.000000,play_video,102.261546,,,,102.261546,
2014-10-04 07:29:19.000000,seek_video,,,,108.623528,,onSlideSeek
2014-10-04 07:29:19.000000,play_video,108.623528,,,,108.623528,
2014-10-04 07:29:20.000000,seek_video,,,,116,,onSlideSeek
2014-10-04 07:29:20.000000,play_video,116,,,,116,
2014-10-04 07:29:21.000000,seek_video,,,,121.431144,,onSlideSeek
2014-10-04 07:29:21.000000,play_video,121.431144,,,,121.431144,
2014-10-04 07:29:22.000000,seek_video,,,,125.443801,,onSlideSeek
2014-10-04 07:29:22.000000,play_video,125.443801,,,,125.443801,
2014-10-04 07:29:24.000000,pause_video,134.849229,,,,134.849229,
2014-10-04 07:30:14.000000,play_video,134.849229,,,,134.849229,
2014-10-04 07:30:44.000000,pause_video,180.430408,,,,180.430408,
2014-10-04 07:57:27.000000,play_video,180.430408,,,,180.430408,
2014-10-04 07:57:33.000000,pause_video,190.232027,,,,190.232027,
2014-10-04 08:06:37.000000,play_video,190.232027,,,,190.232027,
2014-10-04 08:06:38.000000,pause_video,192.241206,,,,192.241206,
