wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_old_time,video_current_time,video_seek_type
2014-10-26 21:54:33.000000,load_video,None,,,,None,
2014-11-02 07:27:57.000000,load_video,None,,,,None,
2014-12-04 04:46:23.000000,load_video,None,,,,None,
2014-12-04 04:47:41.000000,load_video,None,,,,None,
2014-12-04 04:47:44.000000,play_video,0,,,,0,
2014-12-04 04:50:44.000000,pause_video,179.714579046,,,,179.714579046,
2014-12-04 04:51:30.000000,play_video,179.714579046,,,,179.714579046,
2014-12-04 04:54:13.000000,speed_change_video,None,1.25,1.0,,None,
2014-12-04 04:54:24.000000,speed_change_video,None,1.50,1.25,,None,
2014-12-04 05:11:46.000000,pause_video,1918.41083628,,,,1918.41083628,
2014-12-04 05:11:47.000000,play_video,1918.41083628,,,,1918.41083628,
2014-12-04 05:11:49.000000,pause_video,1921.43662239,,,,1921.43662239,
2014-12-04 05:11:51.000000,play_video,1921.43662239,,,,1921.43662239,
2014-12-04 05:12:21.000000,pause_video,1966.62444576,,,,1966.62444576,
2014-12-04 05:12:22.000000,stop_video,1966.62444576,,,,1966.62444576,
2014-12-04 05:47:24.000000,load_video,None,,,,None,
