wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-10-11 04:24:06.000000,load_video,None,,,,None,
2014-10-11 04:24:11.000000,play_video,0,,,,0,
2014-10-11 04:24:14.000000,speed_change_video,None,1.50,2.0,,None,
2014-10-11 04:24:36.000000,speed_change_video,None,1.25,1.50,,None,
2014-10-11 04:24:38.000000,seek_video,,,,41.032325,,onSlideSeek
2014-10-11 04:24:38.000000,play_video,41.032325,,,,41.032325,
2014-10-11 04:25:00.000000,pause_video,45.487651,,,,45.487651,
2014-10-11 04:30:45.000000,load_video,None,,,,None,
2014-10-11 04:31:00.000000,play_video,45,,,,45,
2014-10-11 04:32:01.000000,seek_video,,,,121.140246,,onSlideSeek
2014-10-11 04:32:02.000000,play_video,121.140246,,,,121.140246,
2014-10-11 04:32:05.000000,seek_video,,,,124.133985,,onSlideSeek
2014-10-11 04:32:05.000000,play_video,124.133985,,,,124.133985,
2014-10-11 04:33:20.000000,pause_video,200.860056,,,,200.860056,
2014-10-11 04:34:33.000000,play_video,200.860056,,,,200.860056,
2014-10-11 04:34:55.000000,seek_video,,,,228.049029,,onSlideSeek
2014-10-11 04:34:55.000000,play_video,228.049029,,,,228.049029,
2014-10-11 04:36:12.000000,pause_video,303.583466,,,,303.583466,
2014-10-11 04:36:16.000000,play_video,303.583466,,,,303.583466,
2014-10-11 04:37:02.000000,pause_video,361.047585,,,,361.047585,
2014-10-11 04:37:42.000000,play_video,361.047585,,,,361.047585,
2014-10-11 04:44:09.000000,pause_video,843.301752,,,,843.301752,
2014-10-11 04:48:55.000000,play_video,843.301752,,,,843.301752,
2014-10-11 04:49:14.000000,seek_video,,,,866.511714,,onSlideSeek
2014-10-11 04:49:14.000000,play_video,866.511714,,,,866.511714,
2014-10-11 04:55:33.000000,pause_video,1321.097378,,,,1321.097378,
2014-10-20 11:21:13.000000,load_video,None,,,,None,
2014-10-20 11:21:18.000000,play_video,1321,,,,1321,
2014-10-20 11:21:21.000000,seek_video,,,,1324.819115,,onSlideSeek
2014-10-20 11:21:21.000000,play_video,1324.819115,,,,1324.819115,
2014-10-20 11:21:27.000000,seek_video,,,,114.924493,,onSlideSeek
2014-10-20 11:21:27.000000,play_video,114.924493,,,,114.924493,
2014-10-20 11:21:29.000000,seek_video,,,,195.341219,,onSlideSeek
2014-10-20 11:21:29.000000,play_video,195.341219,,,,195.341219,
2014-10-20 11:21:31.000000,seek_video,,,,130.304161,,onSlideSeek
2014-10-20 11:21:31.000000,play_video,130.304161,,,,130.304161,
2014-10-20 11:21:33.000000,seek_video,,,,176.683952,,onSlideSeek
2014-10-20 11:21:33.000000,play_video,176.683952,,,,176.683952,
2014-10-20 11:21:34.000000,seek_video,,,,221.331468,,onSlideSeek
