wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_old_time,video_current_time,video_seek_type
2014-10-12 03:49:35.000000,load_video,None,,,,None,
2014-10-12 03:49:38.000000,play_video,0,,,,0,
2014-10-12 03:49:40.000000,seek_video,,,,1.053145,,onSlideSeek
2014-10-12 03:49:40.000000,play_video,1.053145,,,,1.053145,
2014-10-12 03:49:42.000000,seek_video,,,,29.191367,,onSlideSeek
2014-10-12 03:49:42.000000,play_video,29.191367,,,,29.191367,
2014-10-12 03:49:45.000000,seek_video,,,,76.420732,,onSlideSeek
2014-10-12 03:49:45.000000,play_video,76.420732,,,,76.420732,
2014-10-12 03:49:46.000000,seek_video,,,,111.73938,,onSlideSeek
2014-10-12 03:49:46.000000,play_video,111.73938,,,,111.73938,
2014-10-12 03:49:49.000000,seek_video,,,,150.499557,,onSlideSeek
2014-10-12 03:49:50.000000,play_video,150.499557,,,,150.499557,
2014-10-12 03:49:51.000000,seek_video,,,,186.786015,,onSlideSeek
2014-10-12 03:49:51.000000,play_video,186.786015,,,,186.786015,
2014-10-12 03:49:53.000000,seek_video,,,,226.203237,,onSlideSeek
2014-10-12 03:49:53.000000,play_video,226.203237,,,,226.203237,
2014-10-12 03:49:54.000000,seek_video,,,,275.624477,,onSlideSeek
2014-10-12 03:49:55.000000,play_video,275.624477,,,,275.624477,
2014-10-12 03:49:55.000000,seek_video,,,,323.411301,,onSlideSeek
2014-10-12 03:49:55.000000,play_video,323.411301,,,,323.411301,
2014-10-12 03:49:59.000000,seek_video,,,,364.144842,,onSlideSeek
2014-10-12 03:49:59.000000,play_video,364.144842,,,,364.144842,
2014-10-12 03:50:00.000000,seek_video,,,,421.805332,,onSlideSeek
2014-10-12 03:50:00.000000,play_video,421.805332,,,,421.805332,
2014-10-12 03:50:03.000000,seek_video,,,,473.486685,,onSlideSeek
2014-10-12 03:50:03.000000,play_video,473.486685,,,,473.486685,
2014-10-12 03:50:04.000000,seek_video,,,,524.564526,,onSlideSeek
2014-10-12 03:50:04.000000,play_video,524.564526,,,,524.564526,
2014-10-12 03:50:05.000000,seek_video,,,,591.51289,,onSlideSeek
2014-10-12 03:50:05.000000,play_video,591.51289,,,,591.51289,
2014-10-12 03:50:06.000000,seek_video,,,,628.772017,,onSlideSeek
2014-10-12 03:50:06.000000,play_video,628.772017,,,,628.772017,
2014-10-12 03:50:07.000000,seek_video,,,,688.364349,,onSlideSeek
2014-10-12 03:50:07.000000,play_video,688.364349,,,,688.364349,
2014-10-12 03:50:08.000000,seek_video,,,,741.744382,,onSlideSeek
2014-10-12 03:50:08.000000,play_video,741.744382,,,,741.744382,
2014-10-12 03:50:09.000000,seek_video,,,,789.753701,,onSlideSeek
2014-10-12 03:50:09.000000,play_video,789.753701,,,,789.753701,
2014-10-12 03:50:11.000000,seek_video,,,,821.949114,,onSlideSeek
2014-10-12 03:50:11.000000,play_video,821.949114,,,,821.949114,
2014-10-12 03:50:12.000000,seek_video,,,,871.927236,,onSlideSeek
2014-10-12 03:50:13.000000,play_video,871.927236,,,,871.927236,
2014-10-12 03:50:13.000000,seek_video,,,,926.667113,,onSlideSeek
2014-10-12 03:50:14.000000,play_video,926.667113,,,,926.667113,
2014-10-12 03:50:14.000000,seek_video,,,,1001.400985,,onSlideSeek
2014-10-12 03:50:15.000000,play_video,1001.400985,,,,1001.400985,
2014-10-12 03:50:15.000000,seek_video,,,,1050.817653,,onSlideSeek
2014-10-12 03:50:16.000000,play_video,1050.817653,,,,1050.817653,
2014-10-12 03:50:18.000000,seek_video,,,,1100.642224,,onSlideSeek
2014-10-12 03:50:19.000000,play_video,1100.642224,,,,1100.642224,
2014-10-12 03:50:21.000000,seek_video,,,,1147.20524,,onSlideSeek
2014-10-12 03:50:21.000000,play_video,1147.20524,,,,1147.20524,
2014-10-12 03:50:23.000000,seek_video,,,,1188.817208,,onSlideSeek
2014-10-12 03:50:23.000000,play_video,1188.817208,,,,1188.817208,
2014-10-12 03:50:25.000000,seek_video,,,,1230.149732,,onSlideSeek
2014-10-12 03:50:25.000000,play_video,1230.149732,,,,1230.149732,
2014-10-12 03:50:26.000000,seek_video,,,,1264.683427,,onSlideSeek
2014-10-12 03:50:26.000000,play_video,1264.683427,,,,1264.683427,
2014-10-12 03:50:27.000000,seek_video,,,,1307.006507,,onSlideSeek
2014-10-12 03:50:27.000000,play_video,1307.006507,,,,1307.006507,
2014-10-12 03:50:28.000000,seek_video,,,,1339,,onSlideSeek
2014-10-12 03:50:28.000000,play_video,1339,,,,1339,
2014-10-12 03:50:29.000000,seek_video,,,,1381.872285,,onSlideSeek
2014-10-12 03:50:29.000000,play_video,1381.872285,,,,1381.872285,
2014-10-12 03:50:31.000000,seek_video,,,,1410.265634,,onSlideSeek
2014-10-12 03:50:31.000000,play_video,1410.265634,,,,1410.265634,
2014-10-12 03:50:32.000000,pause_video,1434.729065,,,,1434.729065,
