wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_old_time,video_current_time,video_seek_type
2014-10-05 22:53:33.000000,load_video,None,,,,None,
2014-10-05 22:54:01.000000,play_video,0,,,,0,
2014-10-05 22:59:53.000000,pause_video,527.39902,,,,527.39902,
2014-10-05 23:00:15.000000,play_video,527.39902,,,,527.39902,
2014-10-05 23:09:18.000000,pause_video,1340.27302,,,,1340.27302,
2014-10-05 23:10:17.000000,play_video,1340.27302,,,,1340.27302,
2014-10-05 23:12:15.000000,pause_video,1517.68502,,,,1517.68502,
2014-10-05 23:12:16.000000,stop_video,1517.68502,,,,1517.68502,
2014-10-06 06:24:13.000000,load_video,None,,,,None,
2014-10-06 06:24:15.000000,play_video,0,,,,0,
2014-10-06 06:24:17.000000,seek_video,,,,2.10727,,onSlideSeek
2014-10-06 06:24:17.000000,play_video,2.10727,,,,2.10727,
2014-10-06 06:24:25.000000,seek_video,,,,193.408006,,onSlideSeek
2014-10-06 06:24:25.000000,play_video,193.408006,,,,193.408006,
2014-10-06 06:24:31.000000,pause_video,122.007611,,,,122.007611,
2014-10-06 06:25:32.000000,play_video,122.007611,,,,122.007611,
2014-10-06 06:31:32.000000,load_video,None,,,,None,
2014-10-06 06:31:35.000000,play_video,133,,,,133,
2014-10-06 06:31:52.000000,seek_video,,,,158.819012,,onSlideSeek
2014-10-06 06:31:53.000000,play_video,158.819012,,,,158.819012,
2014-10-06 06:32:12.000000,seek_video,,,,119,,onSlideSeek
2014-10-06 06:32:28.000000,pause_video,119,,,,119,
2014-10-06 06:33:04.000000,play_video,119,,,,119,
2014-10-06 06:34:19.000000,pause_video,126.456462,,,,126.456462,
2014-10-06 06:34:35.000000,load_video,None,,,,None,
2014-10-06 06:34:38.000000,play_video,126,,,,126,
2014-10-06 06:35:45.000000,pause_video,226.121014,,,,226.121014,
2014-10-06 06:35:48.000000,seek_video,,,,226.121014,,onSlideSeek
2014-10-06 06:35:49.000000,play_video,178,,,,178,
2014-10-06 06:38:01.000000,pause_video,375.553514,,,,375.553514,
2014-10-06 06:39:14.000000,play_video,375.553514,,,,375.553514,
2014-10-06 06:39:38.000000,pause_video,410.848181,,,,410.848181,
2014-10-06 06:40:25.000000,play_video,410.848181,,,,410.848181,
2014-10-06 06:40:54.000000,pause_video,455.124014,,,,455.124014,
2014-10-06 06:42:31.000000,seek_video,,,,455.124014,,onSlideSeek
2014-10-06 06:42:31.000000,pause_video,49,,,,49,
2014-10-06 06:42:32.000000,play_video,49,,,,49,
2014-10-06 06:42:54.000000,load_video,None,,,,None,
2014-10-06 06:42:56.000000,play_video,49,,,,49,
2014-10-06 06:43:47.000000,pause_video,125.594416,,,,125.594416,
2014-10-06 06:43:49.000000,seek_video,,,,125.594416,,onSlideSeek
2014-10-06 06:43:49.000000,pause_video,808,,,,808,
2014-10-06 06:43:53.000000,play_video,808,,,,808,
2014-10-06 06:44:03.000000,pause_video,822.616469,,,,822.616469,
2014-10-06 06:44:04.000000,seek_video,,,,822.616469,,onSlideSeek
2014-10-06 06:44:25.000000,pause_video,664,,,,664,
2014-10-06 06:44:25.000000,seek_video,,,,664,,onSlideSeek
2014-10-06 06:44:52.000000,load_video,None,,,,None,
2014-10-06 06:44:54.000000,seek_video,,,,664,,onSlideSeek
2014-10-06 06:44:56.000000,play_video,274,,,,274,
2014-10-06 06:45:01.000000,pause_video,279.887005,,,,279.887005,
2014-10-06 06:45:02.000000,seek_video,,,,279.887005,,onSlideSeek
2014-10-06 06:45:02.000000,pause_video,153,,,,153,
2014-10-06 06:45:03.000000,play_video,153,,,,153,
2014-10-06 06:45:35.000000,pause_video,153,,,,153,
2014-10-06 06:53:32.000000,load_video,None,,,,None,
2014-10-06 06:53:35.000000,play_video,153,,,,153,
2014-10-06 06:53:40.000000,pause_video,159.271385,,,,159.271385,
2014-10-06 06:53:41.000000,seek_video,,,,159.271385,,onSlideSeek
2014-10-06 06:53:42.000000,pause_video,985,,,,985,
2014-10-06 06:53:44.000000,seek_video,,,,985,,onSlideSeek
2014-10-06 06:53:49.000000,seek_video,,,,743,,onSlideSeek
2014-10-06 06:53:49.000000,pause_video,465,,,,465,
2014-10-06 06:54:14.000000,play_video,465,,,,465,
2014-10-06 06:54:53.000000,pause_video,494.235864,,,,494.235864,
2014-10-06 23:43:22.000000,load_video,None,,,,None,
2014-10-06 23:43:25.000000,play_video,494,,,,494,
2014-10-06 23:43:40.000000,pause_video,516.784856,,,,516.784856,
2014-10-07 03:14:55.000000,load_video,None,,,,None,
2014-10-07 03:14:58.000000,play_video,516,,,,516,
2014-10-07 03:16:13.000000,pause_video,628.599519,,,,628.599519,
2014-10-07 03:16:16.000000,seek_video,,,,628.599519,,onSlideSeek
2014-10-07 03:16:16.000000,pause_video,299,,,,299,
2014-10-07 03:16:17.000000,play_video,299,,,,299,
2014-10-07 03:16:56.000000,pause_video,313.451511,,,,313.451511,
2014-10-07 03:18:36.000000,play_video,313.451511,,,,313.451511,
