wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_old_time,video_current_time,video_seek_type
2014-12-07 09:59:23.000000,load_video,None,,,,None,
2014-12-09 02:37:08.000000,load_video,None,,,,None,
2014-12-10 04:27:31.000000,load_video,None,,,,None,
2014-12-10 04:27:33.000000,play_video,0,,,,0,
2014-12-10 04:27:39.000000,pause_video,8.09577,,,,8.09577,
2014-12-10 04:28:47.000000,play_video,8.09577,,,,8.09577,
2014-12-10 04:30:12.000000,pause_video,114.817022,,,,114.817022,
2014-12-10 04:30:54.000000,play_video,114.817022,,,,114.817022,
2014-12-10 04:31:55.000000,pause_video,190.540642,,,,190.540642,
2014-12-10 04:32:26.000000,play_video,190.540642,,,,190.540642,
2014-12-10 04:33:42.000000,pause_video,285.129862,,,,285.129862,
2014-12-10 04:33:58.000000,play_video,285.129862,,,,285.129862,
2014-12-10 04:42:02.000000,pause_video,889.990026,,,,889.990026,
2014-12-10 04:42:07.000000,play_video,889.990026,,,,889.990026,
2014-12-10 04:44:46.000000,seek_video,,,,1088.020778,,onSlideSeek
2014-12-10 04:44:46.000000,play_video,1088.340042,,,,1088.340042,
2014-12-10 04:44:46.000000,seek_video,,,,1128.346361,,onSlideSeek
2014-12-10 04:44:47.000000,play_video,1128.665625,,,,1128.665625,
2014-12-10 04:44:48.000000,pause_video,1176.955865,,,,1176.955865,
2014-12-10 04:44:48.000000,seek_video,,,,1176.955865,,onSlideSeek
2014-12-10 04:44:49.000000,play_video,1228,,,,1228,
2014-12-10 04:44:53.000000,seek_video,,,,1232.932153,,onSlideSeek
2014-12-10 04:44:53.000000,play_video,1232.932153,,,,1232.932153,
2014-12-10 04:44:54.000000,seek_video,,,,1285.013913,,onSlideSeek
2014-12-10 04:44:54.000000,play_video,1285.013913,,,,1285.013913,
2014-12-10 04:48:03.000000,seek_video,,,,1549.918329,,onSlideSeek
2014-12-10 04:48:03.000000,play_video,1550.208569,,,,1550.208569,
2014-12-10 04:48:06.000000,seek_video,,,,1599.742169,,onSlideSeek
2014-12-10 04:48:06.000000,play_video,1599.742169,,,,1599.742169,
2014-12-10 04:48:32.000000,seek_video,,,,1610.504953,,onSlideSeek
2014-12-10 04:48:33.000000,play_video,1610.824217,,,,1610.824217,
