wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_old_time,video_current_time,video_seek_type
2014-12-07 22:35:38.000000,load_video,None,,,,None,
2014-12-07 23:02:13.000000,load_video,None,,,,None,
2014-12-07 23:06:30.000000,play_video,0,,,,0,
2014-12-08 04:16:51.000000,load_video,None,,,,None,
2014-12-08 04:16:55.000000,play_video,117,,,,117,
2014-12-08 04:16:55.000000,pause_video,117,,,,117,
2014-12-08 04:16:56.000000,seek_video,,,,117,,onSlideSeek
2014-12-08 04:16:58.000000,pause_video,11,,,,11,
2014-12-08 04:16:58.000000,seek_video,,,,11,,onSlideSeek
2014-12-08 04:16:59.000000,seek_video,,,,32,,onSlideSeek
2014-12-08 04:16:59.000000,pause_video,44,,,,44,
