wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_old_time,video_current_time,video_seek_type
2014-11-10 05:58:53.000000,load_video,None,,,,None,
2014-11-10 05:58:56.000000,play_video,0,,,,0,
2014-11-10 05:59:01.000000,speed_change_video,None,2.0,1.0,,None,
2014-11-10 05:59:03.000000,seek_video,,,,7.823493,,onSlideSeek
2014-11-10 05:59:03.000000,play_video,7.823493,,,,7.823493,
2014-11-10 05:59:07.000000,seek_video,,,,71.788281,,onSlideSeek
2014-11-10 05:59:07.000000,play_video,71.788281,,,,71.788281,
2014-11-10 05:59:09.000000,seek_video,,,,153.195907,,onSlideSeek
2014-11-10 05:59:09.000000,play_video,153.195907,,,,153.195907,
2014-11-10 05:59:12.000000,seek_video,,,,246.784796,,onSlideSeek
2014-11-10 05:59:13.000000,play_video,246.784796,,,,246.784796,
2014-11-10 05:59:23.000000,seek_video,,,,334.959981,,onSlideSeek
2014-11-10 05:59:24.000000,play_video,334.959981,,,,334.959981,
2014-11-10 05:59:30.000000,seek_video,,,,232.403005,,onSlideSeek
2014-11-10 05:59:30.000000,play_video,232.403005,,,,232.403005,
2014-11-10 05:59:31.000000,seek_video,,,,301.852481,,onSlideSeek
2014-11-10 05:59:32.000000,play_video,301.852481,,,,301.852481,
2014-11-10 06:00:07.000000,seek_video,,,,435.924889,,onCaptionSeek
2014-11-10 06:00:08.000000,play_video,435.924889,,,,435.924889,
2014-11-10 06:00:36.000000,seek_video,,,,621.304288,,onCaptionSeek
2014-11-10 06:00:36.000000,play_video,621.304288,,,,621.304288,
2014-11-10 06:00:56.000000,seek_video,,,,545.899238,,onCaptionSeek
2014-11-10 06:00:56.000000,play_video,545.899238,,,,545.899238,
2014-11-10 06:01:21.000000,seek_video,,,,734.650521,,onCaptionSeek
2014-11-10 06:01:21.000000,play_video,734.650521,,,,734.650521,
2014-11-10 06:01:52.000000,pause_video,847.414305,,,,847.414305,
2014-11-10 06:02:26.000000,play_video,847.414305,,,,847.414305,
2014-11-10 06:04:22.000000,seek_video,,,,1081.180757,,onCaptionSeek
2014-11-10 06:04:23.000000,play_video,1081.180757,,,,1081.180757,
2014-11-10 06:04:36.000000,seek_video,,,,1268.217184,,onCaptionSeek
2014-11-10 06:04:36.000000,play_video,1268.217184,,,,1268.217184,
2014-11-10 07:31:12.000000,load_video,None,,,,None,
2014-11-10 07:31:18.000000,play_video,1464,,,,1464,
2014-11-10 07:31:51.000000,pause_video,1527.110895,,,,1527.110895,
2014-11-10 07:31:51.000000,stop_video,1527.110895,,,,1527.110895,
2014-11-10 07:32:08.000000,play_video,1527.110895,,,,1527.110895,
2014-11-10 07:32:09.000000,play_video,0,,,,0,
2014-11-10 07:32:11.000000,seek_video,,,,2.408484,,onSlideSeek
2014-11-10 07:32:12.000000,seek_video,,,,2.408484,,onSlideSeek
2014-11-10 07:32:13.000000,play_video,204,,,,204,
2014-11-10 07:32:14.000000,play_video,204,,,,204,
2014-11-10 07:32:14.000000,seek_video,,,,204,,onSlideSeek
2014-11-10 07:32:15.000000,play_video,204,,,,204,
2014-11-10 07:32:17.000000,seek_video,,,,311.089056,,onSlideSeek
2014-11-10 07:32:18.000000,play_video,311.089056,,,,311.089056,
2014-11-10 07:32:45.000000,pause_video,461.642188,,,,461.642188,
2014-11-10 07:33:19.000000,seek_video,,,,461.642188,,onSlideSeek
2014-11-10 07:33:21.000000,seek_video,,,,752,,onSlideSeek
2014-11-10 07:33:23.000000,seek_video,,,,822,,onSlideSeek
2014-11-10 07:33:25.000000,seek_video,,,,907,,onSlideSeek
2014-11-10 07:33:51.000000,seek_video,,,,961,,onCaptionSeek
2014-11-10 07:33:53.000000,pause_video,403.26,,,,403.26,
2014-11-10 07:33:53.000000,play_video,403.26,,,,403.26,
2014-11-10 07:34:03.000000,pause_video,419.850017,,,,419.850017,
2014-11-10 07:34:23.000000,seek_video,,,,419.850017,,onCaptionSeek
2014-11-10 07:34:24.000000,play_video,651.2,,,,651.2,
2014-11-10 07:34:45.000000,pause_video,692.512248,,,,692.512248,
2014-11-10 07:34:47.000000,play_video,692.512248,,,,692.512248,
2014-11-10 07:34:57.000000,pause_video,711.905782,,,,711.905782,
2014-11-10 07:35:07.000000,seek_video,,,,711.905782,,onCaptionSeek
2014-11-10 07:35:08.000000,pause_video,529.16,,,,529.16,
2014-11-10 07:51:45.000000,play_video,529.16,,,,529.16,
2014-11-10 07:52:12.000000,seek_video,,,,583.400325,,onSlideSeek
2014-11-10 07:52:12.000000,play_video,583.400325,,,,583.400325,
2014-11-10 07:52:14.000000,seek_video,,,,624.710365,,onSlideSeek
2014-11-10 07:52:15.000000,play_video,624.710365,,,,624.710365,
2014-11-10 07:52:17.000000,seek_video,,,,662.89959,,onSlideSeek
2014-11-10 07:52:18.000000,play_video,662.89959,,,,662.89959,
2014-11-10 07:52:19.000000,seek_video,,,,699.307798,,onSlideSeek
2014-11-10 07:52:19.000000,play_video,699.307798,,,,699.307798,
2014-11-10 07:52:20.000000,seek_video,,,,737.00124,,onSlideSeek
2014-11-10 07:52:21.000000,play_video,737.00124,,,,737.00124,
2014-11-10 07:52:26.000000,pause_video,691.027765,,,,691.027765,
