wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-12-03 04:36:14.000000,load_video,None,,,,None,
2014-12-03 04:36:18.000000,play_video,0,,,,0,
2014-12-03 04:37:33.000000,seek_video,,,,149.170415,,onSlideSeek
2014-12-03 04:37:33.000000,play_video,149.170415,,,,149.170415,
2014-12-03 04:37:36.000000,seek_video,,,,138.477146,,onSlideSeek
2014-12-03 04:37:36.000000,play_video,138.477146,,,,138.477146,
2014-12-03 04:37:38.000000,seek_video,,,,127.942236,,onSlideSeek
2014-12-03 04:37:38.000000,play_video,127.942236,,,,127.942236,
2014-12-03 04:37:51.000000,pause_video,120.818128,,,,120.818128,
2014-12-03 04:37:54.000000,seek_video,,,,120.818128,,onSlideSeek
2014-12-03 04:37:56.000000,play_video,104,,,,104,
2014-12-03 04:37:58.000000,pause_video,106.920578,,,,106.920578,
2014-12-03 04:37:59.000000,seek_video,,,,106.920578,,onSlideSeek
2014-12-03 04:38:00.000000,play_video,85,,,,85,
2014-12-03 04:38:02.000000,pause_video,88.895797,,,,88.895797,
2014-12-03 04:38:09.000000,play_video,88.895797,,,,88.895797,
2014-12-03 04:39:52.000000,pause_video,294.405515,,,,294.405515,
2014-12-03 04:39:52.000000,stop_video,294.405515,,,,294.405515,
