wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_old_time,video_current_time,video_seek_type
2014-12-08 22:35:14.000000,load_video,None,,,,None,
2014-12-08 22:35:16.000000,play_video,0,,,,0,
2014-12-08 22:35:39.000000,pause_video,45.547545,,,,45.547545,
2014-12-08 22:35:59.000000,play_video,45.547545,,,,45.547545,
2014-12-08 22:37:09.000000,pause_video,184.77167,,,,184.77167,
2014-12-08 22:37:17.000000,play_video,184.77167,,,,184.77167,
2014-12-08 22:38:08.000000,seek_video,,,,287.308982,,onSlideSeek
2014-12-08 22:38:08.000000,play_video,287.308982,,,,287.308982,
2014-12-08 22:38:09.000000,pause_video,282.244738,,,,282.244738,
2014-12-08 22:38:11.000000,seek_video,,,,282.244738,,onSlideSeek
2014-12-08 22:38:17.000000,play_video,279,,,,279,
2014-12-08 22:38:25.000000,pause_video,294.408633,,,,294.408633,
2014-12-08 22:38:25.000000,stop_video,294.408633,,,,294.408633,
2014-12-08 22:48:17.000000,load_video,None,,,,None,
