wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-12-09 07:12:59.000000,load_video,None,,,,None,
2014-12-09 07:13:08.000000,load_video,None,,,,None,
2014-12-09 07:14:03.000000,load_video,None,,,,None,
2014-12-09 07:14:07.000000,play_video,0,,,,0,
2014-12-09 07:14:51.000000,pause_video,43.139362,,,,43.139362,
2014-12-09 07:15:09.000000,play_video,43.139362,,,,43.139362,
2014-12-09 07:15:52.000000,pause_video,86.210611,,,,86.210611,
2014-12-09 07:17:20.000000,play_video,86.210611,,,,86.210611,
2014-12-09 07:17:53.000000,pause_video,118.276054,,,,118.276054,
2014-12-09 07:18:00.000000,play_video,118.276054,,,,118.276054,
2014-12-09 07:18:23.000000,pause_video,140.496637,,,,140.496637,
2014-12-09 07:18:49.000000,play_video,140.496637,,,,140.496637,
2014-12-09 07:20:04.000000,pause_video,215.865514,,,,215.865514,
2014-12-09 07:20:09.000000,play_video,215.865514,,,,215.865514,
2014-12-09 07:20:42.000000,pause_video,249.347312,,,,249.347312,
2014-12-09 07:20:42.000000,stop_video,249.347312,,,,249.347312,
2014-12-09 07:20:44.000000,seek_video,,,,249.347312,,onCaptionSeek
2014-12-09 07:20:44.000000,play_video,216.83,,,,216.83,
2014-12-09 07:20:54.000000,pause_video,226.812629,,,,226.812629,
2014-12-09 07:21:43.000000,play_video,226.812629,,,,226.812629,
2014-12-09 07:21:57.000000,pause_video,240.627937,,,,240.627937,
2014-12-09 07:22:44.000000,play_video,240.627937,,,,240.627937,
2014-12-09 07:22:52.000000,pause_video,248.429525,,,,248.429525,
