wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-10-05 07:15:43.000000,load_video,None,,,,None,
2014-10-06 19:04:49.000000,load_video,None,,,,None,
2014-10-06 19:06:24.000000,load_video,None,,,,None,
2014-10-06 19:06:28.000000,play_video,0,,,,0,
2014-10-06 19:06:45.000000,pause_video,16.042098,,,,16.042098,
2014-10-06 19:16:00.000000,play_video,16.042098,,,,16.042098,
2014-10-06 19:16:36.000000,pause_video,52.12422,,,,52.12422,
2014-10-06 19:16:48.000000,play_video,52.12422,,,,52.12422,
2014-10-06 19:17:44.000000,pause_video,108.172277,,,,108.172277,
2014-10-06 19:19:03.000000,play_video,108.172277,,,,108.172277,
2014-10-06 19:20:56.000000,pause_video,221.658711,,,,221.658711,
2014-10-06 19:20:57.000000,play_video,221.658711,,,,221.658711,
2014-10-06 19:21:01.000000,pause_video,225.049459,,,,225.049459,
2014-10-06 19:22:59.000000,play_video,225.049459,,,,225.049459,
2014-10-22 08:44:48.000000,load_video,None,,,,None,
