wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_old_time,video_current_time,video_seek_type
2014-12-11 05:49:57.000000,load_video,None,,,,None,
2014-12-11 05:50:01.000000,play_video,0,,,,0,
2014-12-11 05:51:32.000000,seek_video,,,,90.64,,onSlideSeek
2014-12-11 05:51:32.000000,play_video,90.64,,,,90.64,
2014-12-11 05:51:33.000000,seek_video,,,,76.16,,onSlideSeek
2014-12-11 05:51:34.000000,play_video,76.42,,,,76.42,
2014-12-11 05:51:36.000000,seek_video,,,,62.84,,onSlideSeek
2014-12-11 05:51:36.000000,play_video,62.84,,,,62.84,
2014-12-11 05:51:36.000000,seek_video,,,,67.36,,onSlideSeek
2014-12-11 05:51:37.000000,play_video,67.62,,,,67.62,
2014-12-11 05:51:37.000000,seek_video,,,,69.42,,onSlideSeek
2014-12-11 05:51:38.000000,play_video,69.661,,,,69.661,
2014-12-11 05:51:39.000000,seek_video,,,,71.781,,onSlideSeek
2014-12-11 05:51:39.000000,play_video,72.04,,,,72.04,
2014-12-11 05:51:39.000000,seek_video,,,,74,,onSlideSeek
2014-12-11 05:51:40.000000,play_video,74,,,,74,
2014-12-11 05:51:40.000000,seek_video,,,,78.3,,onSlideSeek
2014-12-11 05:51:40.000000,play_video,78.3,,,,78.3,
2014-12-11 05:51:42.000000,seek_video,,,,85.42,,onSlideSeek
2014-12-11 05:51:42.000000,play_video,85.66,,,,85.66,
2014-12-11 05:51:45.000000,seek_video,,,,91.18,,onSlideSeek
2014-12-11 05:51:45.000000,play_video,91.18,,,,91.18,
2014-12-11 05:51:45.000000,seek_video,,,,94,,onSlideSeek
2014-12-11 05:51:45.000000,play_video,94.281,,,,94.281,
2014-12-11 05:51:47.000000,seek_video,,,,98.041,,onSlideSeek
2014-12-11 05:51:47.000000,play_video,98.3,,,,98.3,
2014-12-11 05:51:47.000000,seek_video,,,,102.22,,onSlideSeek
2014-12-11 05:51:48.000000,play_video,102.481,,,,102.481,
