wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_old_time,video_current_time,video_seek_type
2014-10-08 17:11:55.000000,load_video,None,,,,None,
2014-10-08 17:12:11.000000,play_video,0,,,,0,
2014-10-08 17:12:19.000000,speed_change_video,None,1.50,1.25,,None,
2014-10-08 17:16:55.000000,seek_video,,,,423.353187,,onSlideSeek
2014-10-08 17:16:55.000000,play_video,423.353187,,,,423.353187,
2014-10-08 17:17:50.000000,seek_video,,,,276,,onSlideSeek
2014-10-08 17:19:14.000000,play_video,276,,,,276,
2014-10-08 17:20:14.000000,pause_video,427.914011,,,,427.914011,
2014-10-22 17:21:29.000000,load_video,None,,,,None,
2014-10-22 17:21:51.000000,load_video,None,,,,None,
2014-10-22 22:23:03.000000,load_video,None,,,,None,
