wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_old_time,video_current_time,video_seek_type
2014-10-02 23:03:51.000000,load_video,None,,,,None,
2014-10-02 23:03:53.000000,play_video,0,,,,0,
2014-10-02 23:05:52.000000,pause_video,177.606532,,,,177.606532,
2014-10-02 23:06:09.000000,seek_video,,,,177.606532,,onSlideSeek
2014-10-02 23:06:21.000000,seek_video,,,,9,,onSlideSeek
2014-10-02 23:06:23.000000,play_video,132,,,,132,
2014-10-02 23:07:03.000000,pause_video,192.636321,,,,192.636321,
2014-10-02 23:07:16.000000,play_video,192.636321,,,,192.636321,
2014-10-02 23:07:28.000000,pause_video,210.126533,,,,210.126533,
2014-10-02 23:07:47.000000,play_video,210.126533,,,,210.126533,
2014-10-02 23:08:00.000000,pause_video,230.044331,,,,230.044331,
2014-10-02 23:08:44.000000,play_video,230.044331,,,,230.044331,
2014-10-02 23:08:44.000000,pause_video,230.509976,,,,230.509976,
2014-10-02 23:08:47.000000,play_video,230.509976,,,,230.509976,
2014-10-02 23:09:14.000000,pause_video,271.545843,,,,271.545843,
2014-10-02 23:13:16.000000,play_video,271.545843,,,,271.545843,
2014-10-02 23:13:43.000000,pause_video,311.40297,,,,311.40297,
2014-10-02 23:14:14.000000,play_video,311.40297,,,,311.40297,
2014-10-02 23:15:03.000000,pause_video,384.869637,,,,384.869637,
2014-10-02 23:15:03.000000,stop_video,384.869637,,,,384.869637,
2014-10-02 23:15:30.000000,seek_video,,,,384.869637,,onSlideSeek
2014-10-02 23:15:30.000000,play_video,362,,,,362,
2014-10-02 23:15:31.000000,pause_video,362.944683,,,,362.944683,
2014-10-02 23:15:31.000000,play_video,362.944683,,,,362.944683,
2014-10-06 05:30:09.000000,load_video,None,,,,None,
