wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-11-22 22:34:23.000000,load_video,None,,,,None,
2014-11-22 22:34:25.000000,play_video,0,,,,0,
2014-11-22 22:35:28.000000,pause_video,125.430727,,,,125.430727,
2014-11-22 22:35:28.000000,stop_video,125.430727,,,,125.430727,
2014-12-11 01:44:35.000000,load_video,None,,,,None,
2014-12-11 01:44:44.000000,play_video,0,,,,0,
2014-12-11 01:51:50.000000,load_video,None,,,,None,
2014-12-11 01:51:53.000000,play_video,8,,,,8,
2014-12-11 01:51:55.000000,seek_video,,,,11.830131,,onSlideSeek
2014-12-11 01:51:55.000000,play_video,11.830131,,,,11.830131,
2014-12-11 01:52:01.000000,seek_video,,,,35.09784,,onSlideSeek
2014-12-11 01:52:01.000000,play_video,35.09784,,,,35.09784,
2014-12-11 01:52:02.000000,seek_video,,,,53.810033,,onSlideSeek
2014-12-11 01:52:02.000000,play_video,54.320862,,,,54.320862,
2014-12-11 01:52:08.000000,seek_video,,,,81.097833,,onSlideSeek
2014-12-11 01:52:08.000000,play_video,81.097833,,,,81.097833,
2014-12-11 01:52:09.000000,seek_video,,,,94.299204,,onSlideSeek
2014-12-11 01:52:09.000000,play_video,94.763594,,,,94.763594,
2014-12-11 01:52:12.000000,seek_video,,,,112.153641,,onSlideSeek
2014-12-11 01:52:12.000000,play_video,112.66447,,,,112.66447,
2014-12-11 01:52:16.000000,pause_video,125.196957,,,,125.196957,
2014-12-11 01:52:16.000000,stop_video,125.196957,,,,125.196957,
2014-12-11 23:59:27.000000,load_video,None,,,,None,
2014-12-11 23:59:33.000000,load_video,None,,,,None,
