wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-12-08 16:14:57.000000,load_video,None,,,,None,
2014-12-08 16:29:08.000000,load_video,None,,,,None,
2014-12-08 16:31:17.000000,play_video,0,,,,0,
2014-12-08 16:31:29.000000,pause_video,16.402257,,,,16.402257,
2014-12-08 16:31:30.000000,play_video,16.402257,,,,16.402257,
2014-12-08 16:31:38.000000,pause_video,29.078598,,,,29.078598,
2014-12-08 16:31:49.000000,seek_video,,,,29.078598,,onCaptionSeek
2014-12-08 16:31:50.000000,play_video,0.18,,,,0.18,
2014-12-08 16:32:05.000000,pause_video,22.67736,,,,22.67736,
2014-12-08 16:47:54.000000,play_video,22.67736,,,,22.67736,
2014-12-08 16:48:06.000000,pause_video,42.495183,,,,42.495183,
2014-12-08 16:48:12.000000,play_video,42.495183,,,,42.495183,
2014-12-08 16:48:50.000000,pause_video,100.345048,,,,100.345048,
2014-12-08 16:48:54.000000,play_video,100.345048,,,,100.345048,
2014-12-08 16:49:43.000000,seek_video,,,,172.860937,,onCaptionSeek
2014-12-08 16:49:43.000000,play_video,172.860937,,,,172.860937,
2014-12-08 16:49:47.000000,pause_video,163.309256,,,,163.309256,
2014-12-08 16:50:06.000000,play_video,163.309256,,,,163.309256,
2014-12-08 16:50:49.000000,seek_video,,,,227.953797,,onCaptionSeek
2014-12-08 16:50:49.000000,play_video,227.953797,,,,227.953797,
2014-12-08 16:51:26.000000,pause_video,263.15438,,,,263.15438,
2014-12-08 16:51:26.000000,stop_video,263.15438,,,,263.15438,
2014-12-08 17:03:18.000000,load_video,None,,,,None,
2014-12-08 17:03:21.000000,play_video,0,,,,0,
2014-12-08 17:03:35.000000,speed_change_video,None,2.0,1.50,,None,
2014-12-08 17:05:07.000000,pause_video,204.329456,,,,204.329456,
2014-12-08 17:05:10.000000,seek_video,,,,204.329456,,onCaptionSeek
2014-12-08 17:05:12.000000,play_video,179.86,,,,179.86,
2014-12-08 17:05:53.000000,pause_video,263.074029,,,,263.074029,
2014-12-08 17:05:54.000000,stop_video,263.074029,,,,263.074029,
