wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_old_time,video_current_time,video_seek_type
2014-10-20 04:58:59.000000,load_video,None,,,,None,
2014-10-20 04:59:03.000000,play_video,0,,,,0,
2014-10-20 04:59:32.000000,pause_video,28.6620540619,,,,28.6620540619,
2014-10-20 05:06:20.000000,play_video,28.6620540619,,,,28.6620540619,
2014-10-20 05:06:20.000000,seek_video,,,,29.5598049164,,onSlideSeek
2014-10-20 05:06:21.000000,pause_video,29.5598049164,,,,29.5598049164,
2014-10-20 05:06:21.000000,play_video,29.5598049164,,,,29.5598049164,
2014-10-20 05:07:41.000000,stop_video,82.1944046021,,,,82.1944046021,
2014-10-20 05:07:42.000000,pause_video,82.1944046021,,,,82.1944046021,
2014-10-20 07:42:49.000000,load_video,None,,,,None,
