wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-09-30 20:00:43.000000,load_video,None,,,,None,
2014-09-30 20:48:15.000000,load_video,None,,,,None,
2014-09-30 20:48:16.000000,play_video,0,,,,0,
2014-09-30 20:51:35.000000,pause_video,297.296813,,,,297.296813,
2014-09-30 20:52:16.000000,play_video,297.296813,,,,297.296813,
2014-09-30 20:53:23.000000,pause_video,396.353721,,,,396.353721,
2014-09-30 20:53:54.000000,play_video,396.353721,,,,396.353721,
2014-09-30 20:59:12.000000,pause_video,872.942452,,,,872.942452,
2014-09-30 20:59:12.000000,stop_video,872.942452,,,,872.942452,
2014-10-07 03:46:43.000000,load_video,None,,,,None,
2014-10-07 03:46:51.000000,play_video,872,,,,872,
2014-10-07 03:46:53.000000,stop_video,873.210269,,,,873.210269,
2014-10-07 03:46:53.000000,pause_video,873.210269,,,,873.210269,
2014-10-07 03:46:54.000000,play_video,873.210269,,,,873.210269,
2014-10-07 03:46:54.000000,play_video,0,,,,0,
2014-10-07 03:47:19.000000,seek_video,,,,24.576226,,onSlideSeek
2014-10-07 03:47:20.000000,play_video,24.576226,,,,24.576226,
2014-10-07 03:47:21.000000,seek_video,,,,54.526354,,onSlideSeek
2014-10-07 03:47:21.000000,play_video,54.526354,,,,54.526354,
2014-10-07 03:47:23.000000,seek_video,,,,114.449461,,onSlideSeek
2014-10-07 03:47:23.000000,play_video,114.449461,,,,114.449461,
2014-10-07 03:47:25.000000,seek_video,,,,163.924322,,onSlideSeek
2014-10-07 03:47:26.000000,play_video,163.924322,,,,163.924322,
2014-10-07 03:48:12.000000,pause_video,261.542066,,,,261.542066,
2014-10-07 03:56:14.000000,seek_video,,,,261.542066,,onSlideSeek
2014-10-07 03:56:15.000000,seek_video,,,,147,,onSlideSeek
2014-10-07 03:57:28.000000,seek_video,,,,95,,onSlideSeek
2014-10-07 03:57:29.000000,seek_video,,,,270,,onSlideSeek
2014-10-07 03:57:30.000000,seek_video,,,,333,,onSlideSeek
2014-10-07 03:57:33.000000,seek_video,,,,367,,onSlideSeek
2014-10-07 03:57:36.000000,seek_video,,,,414,,onSlideSeek
2014-10-07 03:57:38.000000,seek_video,,,,462,,onSlideSeek
2014-10-07 03:57:38.000000,seek_video,,,,411,,onSlideSeek
2014-10-07 03:57:39.000000,seek_video,,,,307,,onSlideSeek
2014-10-07 03:57:40.000000,seek_video,,,,343,,onSlideSeek
2014-10-07 03:57:41.000000,seek_video,,,,382,,onSlideSeek
2014-10-07 03:57:42.000000,seek_video,,,,411,,onSlideSeek
2014-10-07 03:57:42.000000,seek_video,,,,441,,onSlideSeek
2014-10-07 03:57:44.000000,seek_video,,,,530,,onSlideSeek
2014-10-07 03:57:45.000000,seek_video,,,,611,,onSlideSeek
2014-10-07 03:57:46.000000,seek_video,,,,650,,onSlideSeek
2014-10-07 03:57:47.000000,seek_video,,,,692,,onSlideSeek
2014-10-07 03:57:48.000000,seek_video,,,,723,,onSlideSeek
2014-10-07 04:09:28.000000,seek_video,,,,789,,onSlideSeek
2014-10-07 04:09:29.000000,seek_video,,,,728,,onSlideSeek
2014-10-07 04:09:30.000000,seek_video,,,,618,,onSlideSeek
2014-10-21 00:01:23.000000,load_video,None,,,,None,
2014-10-21 00:38:21.000000,load_video,None,,,,None,
2014-10-21 03:59:22.000000,load_video,None,,,,None,
2014-10-21 03:59:27.000000,play_video,261,,,,261,
2014-10-21 03:59:29.000000,seek_video,,,,263.332771,,onSlideSeek
2014-10-21 03:59:29.000000,play_video,263.332771,,,,263.332771,
2014-10-21 03:59:57.000000,load_video,None,,,,None,
2014-10-21 04:02:18.000000,play_video,261,,,,261,
2014-10-21 04:02:37.000000,pause_video,288.419844,,,,288.419844,
2014-10-21 04:02:43.000000,seek_video,,,,288.419844,,onSlideSeek
2014-10-21 04:02:43.000000,pause_video,260,,,,260,
2014-10-21 04:03:29.000000,load_video,None,,,,None,
2014-10-21 04:03:31.000000,play_video,260,,,,260,
2014-10-21 04:03:40.000000,pause_video,272.038163,,,,272.038163,
2014-10-21 04:04:24.000000,play_video,272.038163,,,,272.038163,
2014-10-21 04:04:25.000000,seek_video,,,,274.115394,,onSlideSeek
2014-10-21 04:04:25.000000,play_video,274.115394,,,,274.115394,
2014-10-21 04:04:26.000000,seek_video,,,,302.725166,,onSlideSeek
2014-10-21 04:04:26.000000,play_video,302.725166,,,,302.725166,
2014-10-21 04:04:27.000000,seek_video,,,,372.918563,,onSlideSeek
2014-10-21 04:04:27.000000,play_video,372.918563,,,,372.918563,
2014-10-21 04:04:28.000000,seek_video,,,,417.471344,,onSlideSeek
2014-10-21 04:04:28.000000,play_video,417.471344,,,,417.471344,
2014-10-21 04:04:30.000000,pause_video,463.673583,,,,463.673583,
2014-10-21 04:05:04.000000,play_video,463.673583,,,,463.673583,
2014-10-21 04:05:06.000000,seek_video,,,,466.428824,,onSlideSeek
2014-10-21 04:05:06.000000,play_video,466.428824,,,,466.428824,
2014-10-21 04:05:07.000000,seek_video,,,,522.360338,,onSlideSeek
2014-10-21 04:05:07.000000,play_video,522.360338,,,,522.360338,
2014-10-21 04:05:13.000000,pause_video,624.170181,,,,624.170181,
2014-10-21 04:05:51.000000,seek_video,,,,624.170181,,onSlideSeek
2014-10-21 04:05:55.000000,seek_video,,,,731,,onSlideSeek
2014-10-21 04:05:56.000000,seek_video,,,,684,,onSlideSeek
2014-10-21 04:05:58.000000,seek_video,,,,622,,onSlideSeek
