wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_old_time,video_current_time,video_seek_type
2014-09-29 05:25:50.000000,load_video,None,,,,None,
2014-09-29 05:26:03.000000,play_video,0,,,,0,
2014-09-29 05:26:14.000000,speed_change_video,None,1.0,1.25,,None,
2014-09-29 05:26:15.000000,speed_change_video,None,1.25,1.0,,None,
2014-09-29 05:27:21.000000,pause_video,90.182623446,,,,90.182623446,
2014-09-29 05:28:32.000000,play_video,90.182623446,,,,90.182623446,
2014-09-29 05:30:22.000000,pause_video,230.943953406,,,,230.943953406,
2014-09-29 05:30:27.000000,play_video,230.943953406,,,,230.943953406,
2014-09-29 05:30:32.000000,pause_video,237.175899303,,,,237.175899303,
2014-09-29 05:30:37.000000,play_video,237.175899303,,,,237.175899303,
2014-09-29 05:31:04.000000,pause_video,270.288118212,,,,270.288118212,
2014-09-29 05:31:05.000000,stop_video,270.288118212,,,,270.288118212,
