wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_old_time,video_current_time,video_seek_type
2014-10-18 03:46:50.000000,load_video,None,,,,None,
2014-10-18 03:46:52.000000,play_video,0,,,,0,
2014-10-18 03:46:53.000000,play_video,0.376945922,,,,0.376945922,
2014-10-18 03:48:02.000000,seek_video,,,,69.01224154,,onSlideSeek
2014-10-18 03:49:31.000000,pause_video,69.01224154,,,,69.01224154,
2014-10-18 03:49:31.000000,play_video,69.01224154,,,,69.01224154,
2014-10-18 03:51:26.000000,seek_video,,,,242.236712457,,onSlideSeek
2014-10-18 03:51:27.000000,seek_video,,,,242.236712457,,onSlideSeek
2014-10-18 03:52:02.000000,seek_video,,,,242.236712457,,onSlideSeek
2014-10-18 03:54:08.000000,pause_video,242.236712457,,,,242.236712457,
2014-10-18 03:54:08.000000,play_video,242.236712457,,,,242.236712457,
2014-10-18 03:54:10.000000,seek_video,,,,322.024299479,,onSlideSeek
2014-10-18 03:54:11.000000,seek_video,,,,322.024299479,,onSlideSeek
2014-10-18 03:54:12.000000,seek_video,,,,322.024299479,,onSlideSeek
2014-10-18 03:54:26.000000,seek_video,,,,322.024299479,,onSlideSeek
2014-10-18 03:55:50.000000,pause_video,322.024299479,,,,322.024299479,
2014-10-18 03:55:51.000000,seek_video,,,,322.024299479,,onSlideSeek
2014-10-18 03:55:53.000000,play_video,275,,,,275,
2014-10-18 03:55:53.000000,pause_video,275,,,,275,
2014-10-18 03:55:54.000000,play_video,275,,,,275,
2014-10-18 03:56:08.000000,seek_video,,,,288.859239032,,onSlideSeek
2014-10-18 03:57:11.000000,pause_video,288.859239032,,,,288.859239032,
2014-10-18 03:57:11.000000,play_video,288.859239032,,,,288.859239032,
2014-10-18 03:57:12.000000,pause_video,361.638095459,,,,361.638095459,
2014-10-18 03:57:19.000000,seek_video,,,,361.638095459,,onCaptionSeek
2014-10-18 03:57:22.000000,play_video,345.81,,,,345.81,
2014-10-18 03:57:27.000000,pause_video,349.455713673,,,,349.455713673,
2014-10-18 03:57:47.000000,play_video,349.455713673,,,,349.455713673,
2014-10-18 03:58:47.000000,seek_video,,,,409.289532545,,onSlideSeek
2014-10-18 03:58:49.000000,seek_video,,,,409.289532545,,onSlideSeek
2014-10-18 03:58:52.000000,seek_video,,,,409.289532545,,onSlideSeek
2014-10-18 04:00:20.000000,pause_video,409.289532545,,,,409.289532545,
2014-10-18 04:00:20.000000,play_video,409.289532545,,,,409.289532545,
2014-10-18 04:01:07.000000,pause_video,515.115312874,,,,515.115312874,
2014-10-18 04:01:10.000000,play_video,515.115312874,,,,515.115312874,
2014-10-18 04:04:04.000000,pause_video,688.952070038,,,,688.952070038,
2014-10-18 04:04:04.000000,stop_video,688.952070038,,,,688.952070038,
2014-10-19 20:05:02.000000,load_video,None,,,,None,
2014-10-19 20:05:05.000000,play_video,688,,,,688,
2014-10-19 20:05:06.000000,pause_video,689.127406719,,,,689.127406719,
2014-10-19 20:05:06.000000,stop_video,689.127406719,,,,689.127406719,
2014-10-19 20:05:09.000000,seek_video,,,,689.127406719,,onSlideSeek
2014-10-19 20:05:09.000000,play_video,4,,,,4,
2014-10-19 20:05:10.000000,play_video,4.205751955,,,,4.205751955,
