wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_old_time,video_current_time,video_seek_type
2014-09-25 05:17:12.000000,load_video,None,,,,None,
2014-09-25 05:17:18.000000,play_video,0,,,,0,
2014-09-25 05:17:43.000000,pause_video,24.518522901,,,,24.518522901,
2014-09-25 05:17:56.000000,play_video,24.518522901,,,,24.518522901,
2014-09-25 05:18:39.000000,seek_video,,,,65.4339483,,onSlideSeek
2014-09-25 05:18:40.000000,seek_video,,,,65.4339483,,onSlideSeek
2014-09-25 05:18:59.000000,speed_change_video,None,1.0,1.25,,None,
2014-09-25 05:19:00.000000,speed_change_video,None,1.25,1.0,,None,
2014-09-25 05:19:19.000000,pause_video,65.4339483,,,,65.4339483,
2014-09-25 05:19:19.000000,stop_video,65.4339483,,,,65.4339483,
2014-09-25 22:58:56.000000,load_video,None,,,,None,
2014-10-04 23:56:23.000000,load_video,None,,,,None,
2014-10-04 23:56:27.000000,play_video,65,,,,65,
2014-10-04 23:56:32.000000,speed_change_video,None,1.0,1.25,,None,
2014-10-04 23:56:45.000000,seek_video,,,,82.897363665,,onSlideSeek
2014-10-04 23:56:48.000000,seek_video,,,,82.897363665,,onSlideSeek
2014-10-04 23:56:54.000000,pause_video,82.897363665,,,,82.897363665,
2014-10-04 23:57:02.000000,play_video,82.897363665,,,,82.897363665,
