wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-10-22 07:13:14.000000,load_video,None,,,,None,
2014-10-22 07:13:16.000000,play_video,0,,,,0,
2014-10-22 07:13:17.000000,play_video,0.046960698,,,,0.046960698,
2014-10-22 07:13:32.000000,speed_change_video,None,1.50,1.0,,None,
2014-10-22 07:15:13.000000,pause_video,165.727689791,,,,165.727689791,
2014-10-22 07:15:27.000000,play_video,165.727689791,,,,165.727689791,
2014-10-22 07:25:00.000000,seek_video,,,,1025.15419788,,onSlideSeek
2014-10-22 07:25:02.000000,seek_video,,,,1025.15419788,,onSlideSeek
2014-10-22 07:25:03.000000,seek_video,,,,1025.15419788,,onSlideSeek
2014-10-22 07:27:14.000000,pause_video,1025.15419788,,,,1025.15419788,
2014-10-22 07:27:29.000000,play_video,1025.15419788,,,,1025.15419788,
2014-10-22 07:28:00.000000,pause_video,1235.31613601,,,,1235.31613601,
2014-10-22 07:28:35.000000,play_video,1235.31613601,,,,1235.31613601,
2014-10-22 07:28:45.000000,seek_video,,,,1250.14288943,,onSlideSeek
2014-10-22 07:28:46.000000,seek_video,,,,1250.14288943,,onSlideSeek
2014-10-22 07:28:50.000000,speed_change_video,None,2.0,1.50,,None,
2014-10-22 07:30:48.000000,pause_video,1250.14288943,,,,1250.14288943,
2014-10-22 07:30:48.000000,stop_video,1250.14288943,,,,1250.14288943,
