wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-10-13 03:06:11.000000,load_video,None,,,,None,
2014-10-13 03:06:13.000000,play_video,0,,,,0,
2014-10-13 03:06:16.000000,speed_change_video,None,1.25,1.50,,None,
2014-10-13 03:06:18.000000,speed_change_video,None,1.50,1.25,,None,
2014-10-13 03:06:21.000000,speed_change_video,None,2.0,1.50,,None,
2014-10-13 03:07:55.000000,pause_video,195.46316559,,,,195.46316559,
2014-10-13 03:07:59.000000,seek_video,,,,195.46316559,,onSlideSeek
2014-10-13 03:08:49.000000,play_video,181,,,,181,
2014-10-13 03:10:45.000000,seek_video,,,,411.29883532,,onSlideSeek
2014-10-13 03:10:47.000000,seek_video,,,,411.29883532,,onSlideSeek
2014-10-13 03:13:34.000000,pause_video,411.29883532,,,,411.29883532,
2014-10-13 03:13:34.000000,stop_video,411.29883532,,,,411.29883532,
2014-10-13 03:15:28.000000,load_video,None,,,,None,
2014-10-13 03:15:31.000000,seek_video,,,,411.29883532,,onSlideSeek
2014-10-13 03:15:32.000000,play_video,622,,,,622,
2014-10-13 03:15:33.000000,play_video,622,,,,622,
2014-10-16 06:06:23.000000,load_video,None,,,,None,
2014-10-16 06:06:25.000000,play_video,411,,,,411,
2014-10-16 06:06:29.000000,speed_change_video,None,1.0,2.0,,None,
2014-10-16 06:06:35.000000,pause_video,422.412621274,,,,422.412621274,
2014-10-16 06:07:02.000000,play_video,422.412621274,,,,422.412621274,
2014-10-16 06:07:10.000000,seek_video,,,,430.218258216,,onSlideSeek
2014-10-16 06:07:19.000000,seek_video,,,,430.218258216,,onSlideSeek
2014-10-16 06:07:20.000000,seek_video,,,,430.218258216,,onSlideSeek
2014-10-16 06:07:21.000000,seek_video,,,,430.218258216,,onSlideSeek
2014-10-16 06:10:39.000000,stop_video,430.218258216,,,,430.218258216,
2014-10-16 06:10:40.000000,pause_video,430.218258216,,,,430.218258216,
2014-10-16 19:28:23.000000,play_video,430.218258216,,,,430.218258216,
2014-10-16 19:28:24.000000,seek_video,,,,1.40123419601,,onSlideSeek
2014-10-16 19:28:25.000000,seek_video,,,,1.40123419601,,onSlideSeek
2014-10-16 19:28:25.000000,seek_video,,,,1.40123419601,,onSlideSeek
2014-10-16 19:28:26.000000,seek_video,,,,1.40123419601,,onSlideSeek
2014-10-16 19:28:27.000000,seek_video,,,,1.40123419601,,onSlideSeek
2014-10-16 19:28:28.000000,seek_video,,,,1.40123419601,,onSlideSeek
2014-10-16 19:28:35.000000,seek_video,,,,1.40123419601,,onSlideSeek
2014-10-16 22:04:47.000000,load_video,None,,,,None,
2014-10-16 22:15:53.000000,seek_video,,,,430,,onSlideSeek
2014-10-16 22:15:53.000000,play_video,455,,,,455,
2014-10-16 22:15:53.000000,play_video,430,,,,430,
2014-10-16 22:15:54.000000,play_video,430,,,,430,
2014-10-16 22:15:54.000000,play_video,455,,,,455,
2014-10-16 22:15:55.000000,play_video,455,,,,455,
2014-10-16 22:15:56.000000,play_video,455,,,,455,
2014-10-16 22:15:57.000000,play_video,455,,,,455,
2014-10-16 22:15:58.000000,play_video,455,,,,455,
2014-10-16 22:15:59.000000,play_video,455,,,,455,
2014-10-16 22:16:00.000000,play_video,455,,,,455,
2014-10-16 22:16:00.000000,seek_video,,,,455.772406801,,onSlideSeek
2014-10-16 22:16:01.000000,seek_video,,,,455.772406801,,onSlideSeek
2014-10-16 22:16:03.000000,pause_video,455.772406801,,,,455.772406801,
2014-10-22 09:19:17.000000,load_video,None,,,,None,
2014-10-22 20:53:15.000000,load_video,None,,,,None,
2014-10-22 20:53:17.000000,play_video,455,,,,455,
2014-10-22 20:53:19.000000,seek_video,,,,456.624611065,,onSlideSeek
2014-10-22 20:53:19.000000,play_video,456.624611065,,,,456.624611065,
2014-10-22 20:53:19.000000,seek_video,,,,421,,onSlideSeek
2014-10-22 20:53:20.000000,play_video,421,,,,421,
2014-10-22 20:53:20.000000,seek_video,,,,313,,onSlideSeek
2014-10-22 20:53:20.000000,play_video,313,,,,313,
2014-10-22 20:53:21.000000,seek_video,,,,227,,onSlideSeek
2014-10-22 20:53:21.000000,play_video,227,,,,227,
2014-10-22 20:53:22.000000,seek_video,,,,142.995500231,,onSlideSeek
2014-10-22 20:53:23.000000,play_video,142.995500231,,,,142.995500231,
2014-10-22 20:53:25.000000,seek_video,,,,103.960204155,,onSlideSeek
2014-10-22 20:53:25.000000,play_video,103.960204155,,,,103.960204155,
2014-10-22 20:53:30.000000,seek_video,,,,75.399298616,,onSlideSeek
2014-10-22 20:53:31.000000,seek_video,,,,75.399298616,,onSlideSeek
2014-10-22 20:54:07.000000,pause_video,75.399298616,,,,75.399298616,
