wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-10-21 05:32:59.000000,load_video,None,,,,None,
2014-10-21 05:33:20.000000,play_video,0,,,,0,
2014-10-21 05:33:21.000000,play_video,0,,,,0,
2014-10-21 05:33:24.000000,speed_change_video,None,1.0,2.0,,None,
2014-10-21 05:33:25.000000,play_video,3.390113,,,,3.390113,
2014-10-21 05:33:26.000000,speed_change_video,None,2.0,1.0,,None,
2014-10-21 05:33:35.000000,pause_video,21.768707,,,,21.768707,
2014-10-21 05:33:59.000000,play_video,21.768707,,,,21.768707,
2014-10-21 05:33:59.000000,pause_video,22.047347,,,,22.047347,
2014-10-21 05:33:59.000000,play_video,22.047347,,,,22.047347,
2014-10-21 05:34:07.000000,pause_video,37.047433,,,,37.047433,
2014-10-21 05:34:27.000000,play_video,37.047433,,,,37.047433,
2014-10-21 05:34:40.000000,pause_video,62.728709,,,,62.728709,
2014-10-21 05:34:47.000000,play_video,62.728709,,,,62.728709,
2014-10-21 05:35:02.000000,pause_video,92.984313,,,,92.984313,
2014-10-21 05:35:42.000000,play_video,92.984313,,,,92.984313,
2014-10-21 05:35:51.000000,pause_video,110.515369,,,,110.515369,
2014-10-21 05:35:59.000000,play_video,110.515369,,,,110.515369,
2014-10-21 05:36:18.000000,pause_video,148.503233,,,,148.503233,
2014-10-21 05:37:18.000000,play_video,148.503233,,,,148.503233,
2014-10-21 05:37:20.000000,pause_video,151.127073,,,,151.127073,
2014-10-21 05:37:20.000000,play_video,151.127073,,,,151.127073,
2014-10-21 05:37:23.000000,pause_video,156.374785,,,,156.374785,
2014-10-21 05:37:32.000000,play_video,156.374785,,,,156.374785,
2014-10-21 05:37:39.000000,pause_video,170.167425,,,,170.167425,
2014-10-21 05:37:44.000000,play_video,170.167425,,,,170.167425,
2014-10-21 05:37:53.000000,pause_video,189.022049,,,,189.022049,
2014-10-21 05:38:02.000000,play_video,189.022049,,,,189.022049,
2014-10-21 05:38:38.000000,pause_video,260.841345,,,,260.841345,
2014-10-21 05:38:53.000000,play_video,260.841345,,,,260.841345,
2014-10-21 05:38:55.000000,pause_video,263.558081,,,,263.558081,
2014-10-21 05:39:01.000000,play_video,263.558081,,,,263.558081,
2014-10-21 05:39:16.000000,pause_video,292.722337,,,,292.722337,
2014-10-21 05:39:55.000000,play_video,292.722337,,,,292.722337,
2014-10-21 05:39:57.000000,pause_video,296.228545,,,,296.228545,
2014-10-21 05:40:00.000000,play_video,296.228545,,,,296.228545,
2014-10-21 05:40:23.000000,pause_video,341.507457,,,,341.507457,
2014-10-21 05:40:40.000000,play_video,341.507457,,,,341.507457,
2014-10-21 05:41:22.000000,pause_video,425.610145,,,,425.610145,
2014-10-21 05:42:21.000000,play_video,425.610145,,,,425.610145,
2014-10-21 05:42:49.000000,pause_video,482.313281,,,,482.313281,
2014-10-21 05:42:50.000000,play_video,482.313281,,,,482.313281,
2014-10-21 05:42:54.000000,pause_video,490.324193,,,,490.324193,
2014-10-21 05:43:37.000000,play_video,490.324193,,,,490.324193,
2014-10-21 05:43:45.000000,pause_video,507.390817,,,,507.390817,
2014-10-21 05:43:55.000000,play_video,507.390817,,,,507.390817,
2014-10-21 05:44:00.000000,pause_video,515.935777,,,,515.935777,
2014-10-21 05:44:13.000000,play_video,515.935777,,,,515.935777,
