wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_old_time,video_current_time,video_seek_type
2014-12-11 06:18:44.000000,load_video,None,,,,None,
2014-12-11 07:43:43.000000,load_video,None,,,,None,
2014-12-11 10:00:49.000000,load_video,None,,,,None,
2014-12-11 10:00:52.000000,play_video,0,,,,0,
2014-12-11 10:01:29.000000,pause_video,36.614823,,,,36.614823,
2014-12-11 10:01:46.000000,play_video,36.614823,,,,36.614823,
2014-12-11 10:02:45.000000,pause_video,95.846496,,,,95.846496,
2014-12-11 10:03:53.000000,play_video,95.846496,,,,95.846496,
2014-12-11 10:04:07.000000,pause_video,109.359958,,,,109.359958,
2014-12-11 10:11:18.000000,play_video,109.359958,,,,109.359958,
2014-12-11 10:12:40.000000,pause_video,191.369471,,,,191.369471,
2014-12-11 10:17:41.000000,play_video,191.369471,,,,191.369471,
2014-12-11 10:21:40.000000,pause_video,430.037579,,,,430.037579,
2014-12-11 10:21:45.000000,play_video,430.037579,,,,430.037579,
2014-12-11 10:23:09.000000,pause_video,514.090359,,,,514.090359,
2014-12-11 10:35:27.000000,play_video,514.090359,,,,514.090359,
2014-12-11 10:41:11.000000,pause_video,861.562699,,,,861.562699,
2014-12-11 10:41:11.000000,stop_video,861.562699,,,,861.562699,
2015-03-09 22:48:08.000000,load_video,None,,,,None,
