wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-10-03 20:57:56.000000,load_video,None,,,,None,
2014-10-03 20:58:02.000000,play_video,0,,,,0,
2014-10-03 21:00:45.000000,pause_video,162.275828,,,,162.275828,
2014-10-03 21:01:21.000000,play_video,162.275828,,,,162.275828,
2014-10-03 21:03:24.000000,pause_video,285.571443,,,,285.571443,
2014-10-03 21:03:25.000000,stop_video,285.571443,,,,285.571443,
2014-10-03 21:05:27.000000,load_video,None,,,,None,
2014-10-03 21:05:30.000000,seek_video,,,,0,,onSlideSeek
2014-10-03 21:05:32.000000,play_video,267,,,,267,
2014-10-03 23:39:57.000000,load_video,None,,,,None,
2014-10-03 23:40:00.000000,seek_video,,,,274,,onSlideSeek
2014-10-03 23:40:01.000000,play_video,105,,,,105,
2014-10-03 23:40:01.000000,play_video,274,,,,274,
2014-10-03 23:40:03.000000,seek_video,,,,106.914142,,onSlideSeek
2014-10-03 23:40:03.000000,play_video,106.914142,,,,106.914142,
2014-10-22 22:48:24.000000,load_video,None,,,,None,
2014-10-22 22:56:53.000000,load_video,None,,,,None,
2014-10-22 22:57:03.000000,load_video,None,,,,None,
2014-10-22 22:59:22.000000,load_video,None,,,,None,
2015-03-09 22:31:00.000000,load_video,None,,,,None,
