wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-09-30 20:37:20.000000,load_video,None,,,,None,
2014-10-06 04:07:56.000000,load_video,None,,,,None,
2014-10-06 04:09:38.000000,play_video,0,,,,0,
2014-10-06 04:09:42.000000,seek_video,,,,2.980367,,onSlideSeek
2014-10-06 04:09:42.000000,play_video,2.980367,,,,2.980367,
2014-10-06 04:09:43.000000,seek_video,,,,162.36821,,onSlideSeek
2014-10-06 04:09:43.000000,play_video,162.36821,,,,162.36821,
2014-10-06 04:09:46.000000,speed_change_video,None,1.25,1.0,,None,
2014-10-06 04:09:48.000000,speed_change_video,None,1.50,1.25,,None,
2014-10-06 04:10:15.000000,speed_change_video,None,2.0,1.50,,None,
2014-10-06 04:10:56.000000,speed_change_video,None,1.50,2.0,,None,
2014-10-06 04:12:32.000000,pause_video,270.476835,,,,270.476835,
2014-10-06 04:12:32.000000,stop_video,270.476835,,,,270.476835,
2014-10-06 06:48:54.000000,load_video,None,,,,None,
2014-10-06 06:48:55.000000,play_video,0,,,,0,
2014-10-06 06:48:56.000000,seek_video,,,,1.041929,,onSlideSeek
2014-10-06 06:48:56.000000,play_video,1.041929,,,,1.041929,
2014-10-06 06:48:57.000000,seek_video,,,,17.784635,,onSlideSeek
2014-10-06 06:48:57.000000,play_video,17.784635,,,,17.784635,
2014-10-06 06:48:58.000000,seek_video,,,,39.75268,,onSlideSeek
2014-10-06 06:48:58.000000,play_video,39.75268,,,,39.75268,
2014-10-06 06:48:58.000000,seek_video,,,,62.768139,,onSlideSeek
2014-10-06 06:48:59.000000,play_video,62.768139,,,,62.768139,
2014-10-06 06:48:59.000000,seek_video,,,,90.437315,,onSlideSeek
2014-10-06 06:48:59.000000,play_video,90.437315,,,,90.437315,
2014-10-06 06:49:00.000000,seek_video,,,,105.760827,,onSlideSeek
2014-10-06 06:49:00.000000,play_video,105.760827,,,,105.760827,
2014-10-06 06:49:01.000000,seek_video,,,,132.32947,,onSlideSeek
2014-10-06 06:49:01.000000,play_video,132.32947,,,,132.32947,
2014-10-06 06:49:05.000000,seek_video,,,,156.562759,,onSlideSeek
2014-10-06 06:49:05.000000,play_video,156.562759,,,,156.562759,
2014-10-06 06:49:07.000000,seek_video,,,,172.610711,,onSlideSeek
2014-10-06 06:49:07.000000,play_video,172.610711,,,,172.610711,
2014-10-06 06:49:08.000000,seek_video,,,,196.709887,,onSlideSeek
2014-10-06 06:49:08.000000,play_video,196.709887,,,,196.709887,
2014-10-06 06:49:09.000000,seek_video,,,,205.617007,,onSlideSeek
2014-10-06 06:49:09.000000,play_video,205.617007,,,,205.617007,
2014-10-06 06:49:09.000000,seek_video,,,,229.365778,,onSlideSeek
2014-10-06 06:49:09.000000,play_video,229.365778,,,,229.365778,
2014-10-06 06:49:10.000000,pause_video,251.445449,,,,251.445449,
