wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-10-12 19:10:10.000000,load_video,None,,,,None,
2014-10-12 19:10:12.000000,play_video,0,,,,0,
2014-10-12 19:10:21.000000,seek_video,,,,10.916572,,onSlideSeek
2014-10-12 19:10:21.000000,play_video,10.916572,,,,10.916572,
2014-10-12 19:10:22.000000,seek_video,,,,26.513418,,onSlideSeek
2014-10-12 19:10:22.000000,play_video,26.513418,,,,26.513418,
2014-10-12 19:10:22.000000,seek_video,,,,61.851149,,onSlideSeek
2014-10-12 19:10:23.000000,play_video,61.851149,,,,61.851149,
2014-10-12 19:10:24.000000,seek_video,,,,88.914634,,onSlideSeek
2014-10-12 19:10:24.000000,play_video,88.914634,,,,88.914634,
2014-10-12 19:10:25.000000,seek_video,,,,122.692292,,onSlideSeek
2014-10-12 19:10:25.000000,play_video,122.692292,,,,122.692292,
2014-10-12 19:10:26.000000,seek_video,,,,159.690894,,onSlideSeek
2014-10-12 19:10:26.000000,play_video,159.690894,,,,159.690894,
2014-10-12 19:10:27.000000,seek_video,,,,181.612868,,onSlideSeek
2014-10-12 19:10:27.000000,play_video,181.612868,,,,181.612868,
2014-10-12 19:10:32.000000,seek_video,,,,219.99775,,onSlideSeek
2014-10-12 19:10:32.000000,play_video,219.99775,,,,219.99775,
2014-10-12 19:10:52.000000,pause_video,266.264005,,,,266.264005,
2014-10-12 19:10:52.000000,play_video,266.264005,,,,266.264005,
2014-10-12 19:12:05.000000,pause_video,357.188922,,,,357.188922,
2014-10-12 19:12:26.000000,play_video,357.188922,,,,357.188922,
2014-10-18 23:18:08.000000,load_video,None,,,,None,
2014-10-18 23:18:10.000000,play_video,374,,,,374,
2014-10-18 23:18:13.000000,seek_video,,,,377.800246,,onSlideSeek
2014-10-18 23:18:14.000000,play_video,377.800246,,,,377.800246,
2014-10-18 23:18:59.000000,pause_video,61.076474,,,,61.076474,
2014-10-18 23:19:09.000000,play_video,61.076474,,,,61.076474,
2014-10-18 23:19:56.000000,pause_video,119.865979,,,,119.865979,
2014-10-18 23:21:30.000000,play_video,119.865979,,,,119.865979,
2014-10-18 23:23:48.000000,pause_video,291.16225,,,,291.16225,
2014-10-18 23:23:58.000000,play_video,291.16225,,,,291.16225,
2014-10-18 23:25:11.000000,pause_video,383.054264,,,,383.054264,
2014-10-18 23:25:11.000000,stop_video,383.054264,,,,383.054264,
