wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_old_time,video_current_time,video_seek_type
2014-10-07 10:59:38.000000,load_video,None,,,,None,
2014-10-08 04:09:57.000000,load_video,None,,,,None,
2014-10-08 08:11:51.000000,load_video,None,,,,None,
2014-10-08 08:15:43.000000,load_video,None,,,,None,
2014-10-08 08:24:43.000000,load_video,None,,,,None,
2014-10-08 08:24:45.000000,play_video,0,,,,0,
2014-10-08 08:29:36.000000,seek_video,,,,436.291124,,onSlideSeek
2014-10-08 08:29:36.000000,play_video,436.291124,,,,436.291124,
2014-10-08 08:29:37.000000,seek_video,,,,463.109175,,onSlideSeek
2014-10-08 08:29:37.000000,play_video,463.109175,,,,463.109175,
2014-10-08 08:29:39.000000,seek_video,,,,506.63251,,onSlideSeek
2014-10-08 08:29:39.000000,play_video,506.63251,,,,506.63251,
2014-10-08 08:29:40.000000,seek_video,,,,480.504016,,onSlideSeek
2014-10-08 08:29:41.000000,play_video,480.504016,,,,480.504016,
2014-10-08 08:32:19.000000,seek_video,,,,702.014966,,onSlideSeek
2014-10-08 08:32:20.000000,play_video,702.014966,,,,702.014966,
2014-10-08 08:32:20.000000,pause_video,680.974599,,,,680.974599,
2014-10-08 08:32:27.000000,play_video,680.974599,,,,680.974599,
2014-10-08 08:32:30.000000,seek_video,,,,685.859266,,onSlideSeek
2014-10-08 08:32:30.000000,play_video,685.859266,,,,685.859266,
2014-10-08 08:32:31.000000,seek_video,,,,699.002502,,onSlideSeek
2014-10-08 08:32:31.000000,play_video,699.002502,,,,699.002502,
2014-10-08 08:34:53.000000,pause_video,925.24251,,,,925.24251,
2014-10-08 08:34:53.000000,stop_video,925.24251,,,,925.24251,
2014-10-22 07:27:29.000000,load_video,None,,,,None,
2014-10-22 07:27:30.000000,play_video,925,,,,925,
2014-10-22 07:27:31.000000,pause_video,926.008886,,,,926.008886,
2014-10-22 07:27:31.000000,stop_video,926.008886,,,,926.008886,
2014-10-22 07:27:32.000000,play_video,926.008886,,,,926.008886,
2014-10-22 07:27:32.000000,play_video,0,,,,0,
2014-10-22 07:27:34.000000,seek_video,,,,1.414681,,onSlideSeek
2014-10-22 07:27:34.000000,play_video,1.414681,,,,1.414681,
2014-10-22 07:27:43.000000,seek_video,,,,65.341427,,onSlideSeek
2014-10-22 07:27:43.000000,play_video,65.341427,,,,65.341427,
2014-10-22 07:27:45.000000,seek_video,,,,80.077954,,onSlideSeek
2014-10-22 07:27:45.000000,play_video,80.077954,,,,80.077954,
2014-10-22 07:27:56.000000,seek_video,,,,114.420546,,onSlideSeek
2014-10-22 07:27:56.000000,play_video,114.420546,,,,114.420546,
2014-10-22 07:28:00.000000,seek_video,,,,130.582556,,onSlideSeek
2014-10-22 07:28:01.000000,play_video,130.582556,,,,130.582556,
2014-10-22 07:28:01.000000,seek_video,,,,150.280788,,onSlideSeek
2014-10-22 07:28:01.000000,play_video,150.280788,,,,150.280788,
2014-10-22 07:28:02.000000,seek_video,,,,179.560277,,onSlideSeek
2014-10-22 07:28:02.000000,play_video,179.560277,,,,179.560277,
2014-10-22 07:28:05.000000,seek_video,,,,211.235668,,onSlideSeek
2014-10-22 07:28:05.000000,play_video,211.235668,,,,211.235668,
2014-10-22 07:28:06.000000,seek_video,,,,235.99952,,onSlideSeek
2014-10-22 07:28:06.000000,play_video,235.99952,,,,235.99952,
2014-10-22 07:28:08.000000,seek_video,,,,256.912989,,onSlideSeek
2014-10-22 07:28:08.000000,play_video,256.912989,,,,256.912989,
2014-10-22 07:28:12.000000,seek_video,,,,289.049311,,onSlideSeek
2014-10-22 07:28:13.000000,play_video,289.049311,,,,289.049311,
2014-10-22 07:28:13.000000,seek_video,,,,325.509195,,onSlideSeek
2014-10-22 07:28:16.000000,play_video,325.509195,,,,325.509195,
2014-10-22 07:28:18.000000,seek_video,,,,344.450286,,onSlideSeek
2014-10-22 07:28:18.000000,play_video,344.450286,,,,344.450286,
2014-10-22 07:28:22.000000,play_video,384.8085,,,,384.8085,
2014-10-22 07:28:28.000000,seek_video,,,,389.504965,,onSlideSeek
2014-10-22 07:28:29.000000,seek_video,,,,389.504965,,onSlideSeek
2014-10-22 07:28:45.000000,play_video,463,,,,463,
2014-10-22 07:28:47.000000,play_video,463,,,,463,
2014-10-22 07:28:50.000000,pause_video,466.335257,,,,466.335257,
2014-10-22 07:28:53.000000,seek_video,,,,466.335257,,onSlideSeek
2014-10-22 07:28:54.000000,pause_video,405,,,,405,
2014-10-22 07:28:55.000000,play_video,405,,,,405,
2014-10-22 07:29:26.000000,seek_video,,,,450.862789,,onSlideSeek
2014-10-22 07:29:26.000000,play_video,450.862789,,,,450.862789,
2014-10-22 07:29:30.000000,seek_video,,,,538.92245,,onSlideSeek
2014-10-22 07:29:30.000000,play_video,538.92245,,,,538.92245,
2014-10-22 07:29:32.000000,seek_video,,,,597.213587,,onSlideSeek
2014-10-22 07:29:32.000000,play_video,597.213587,,,,597.213587,
2014-10-22 07:29:33.000000,seek_video,,,,656.852355,,onSlideSeek
2014-10-22 07:29:33.000000,play_video,656.852355,,,,656.852355,
2014-10-22 07:29:34.000000,seek_video,,,,697.479883,,onSlideSeek
2014-10-22 07:29:34.000000,play_video,697.479883,,,,697.479883,
2014-10-22 07:29:36.000000,seek_video,,,,746.006186,,onSlideSeek
2014-10-22 07:29:36.000000,play_video,746.006186,,,,746.006186,
