wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_old_time,video_current_time,video_seek_type
2014-11-25 22:32:40.000000,load_video,None,,,,None,
2014-11-25 22:32:56.000000,play_video,0,,,,0,
2014-11-25 22:32:57.000000,play_video,0,,,,0,
2014-11-25 22:37:40.000000,pause_video,283.081248809,,,,283.081248809,
2014-11-25 22:37:43.000000,seek_video,,,,283.081248809,,onSlideSeek
2014-11-25 22:38:14.000000,play_video,281,,,,281,
2014-11-25 22:38:28.000000,pause_video,294.72476259,,,,294.72476259,
2014-11-25 22:38:28.000000,stop_video,294.72476259,,,,294.72476259,
2014-11-25 22:43:31.000000,load_video,None,,,,None,
2014-11-25 22:47:09.000000,load_video,None,,,,None,
