wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-11-29 19:37:19.000000,load_video,None,,,,None,
2014-11-29 19:42:13.000000,load_video,None,,,,None,
2014-11-29 19:42:20.000000,load_video,None,,,,None,
2014-11-29 19:42:56.000000,load_video,None,,,,None,
2014-11-29 19:47:28.000000,load_video,None,,,,None,
2014-11-29 20:48:03.000000,load_video,None,,,,None,
2014-11-29 20:51:08.000000,load_video,None,,,,None,
2014-11-29 20:51:09.000000,play_video,0,,,,0,
2014-11-29 20:51:15.000000,pause_video,7.208787,,,,7.208787,
2014-11-29 20:51:23.000000,play_video,7.208787,,,,7.208787,
2014-11-29 20:51:32.000000,pause_video,20.234833,,,,20.234833,
2014-11-29 20:51:54.000000,play_video,20.234833,,,,20.234833,
2014-11-29 20:53:24.000000,pause_video,155.406185,,,,155.406185,
2014-11-29 20:54:37.000000,play_video,155.406185,,,,155.406185,
2014-11-29 20:56:43.000000,pause_video,344.458,,,,344.458,
2014-11-29 20:56:43.000000,stop_video,344.458,,,,344.458,
2014-12-10 09:17:56.000000,load_video,None,,,,None,
