wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_old_time,video_current_time,video_seek_type
2014-12-11 03:50:31.000000,play_video,0,,,,0,
2014-12-11 03:50:34.000000,load_video,None,,,,None,
2014-12-11 03:50:38.000000,play_video,3.794892,,,,3.794892,
2014-12-11 03:50:39.000000,seek_video,,,,6.772476,,onCaptionSeek
2014-12-11 03:50:57.000000,seek_video,,,,611.54,,onCaptionSeek
2014-12-11 03:51:02.000000,play_video,611.54,,,,611.54,
2014-12-11 03:51:13.000000,play_video,1333.18,,,,1333.18,
2014-12-11 03:51:22.000000,play_video,1345.798302,,,,1345.798302,
2014-12-11 03:51:22.000000,play_video,1346.450353,,,,1346.450353,
2014-12-11 03:51:49.000000,play_video,1379.930967,,,,1379.930967,
2014-12-11 03:51:51.000000,play_video,1333.18,,,,1333.18,
2014-12-11 03:52:02.000000,pause_video,1357.175857,,,,1357.175857,
2014-12-11 03:52:08.000000,play_video,1357.175857,,,,1357.175857,
2014-12-11 03:52:11.000000,play_video,1357.826003,,,,1357.826003,
2014-12-11 03:53:25.000000,pause_video,1486.554911,,,,1486.554911,
2014-12-11 03:53:40.000000,play_video,1486.554911,,,,1486.554911,
2014-12-11 03:53:40.000000,play_video,1487.4968,,,,1487.4968,
2014-12-11 03:53:42.000000,seek_video,,,,1337.299965,,onSlideSeek
2014-12-11 03:53:42.000000,play_video,1337.299965,,,,1337.299965,
2014-12-11 03:53:54.000000,seek_video,,,,1411.742004,,onSlideSeek
2014-12-11 03:53:54.000000,play_video,1411.742004,,,,1411.742004,
2014-12-11 03:54:48.000000,seek_video,,,,1577.260984,,onCaptionSeek
2014-12-11 03:55:00.000000,play_video,1294.11,,,,1294.11,
2014-12-11 03:55:04.000000,seek_video,,,,1299.912291,,onCaptionSeek
2014-12-11 03:55:09.000000,play_video,376.42,,,,376.42,
2014-12-11 03:55:12.000000,play_video,379.936258,,,,379.936258,
2014-12-11 03:55:32.000000,seek_video,,,,394.847304,,onCaptionSeek
2014-12-11 03:55:36.000000,seek_video,,,,394.847304,,onCaptionSeek
2014-12-11 03:55:40.000000,play_video,394.847304,,,,394.847304,
2014-12-11 03:55:46.000000,play_video,674.65,,,,674.65,
2014-12-11 03:55:47.000000,play_video,674.82265,,,,674.82265,
2014-12-11 03:55:51.000000,play_video,678.119819,,,,678.119819,
2014-12-11 03:55:57.000000,play_video,682.206451,,,,682.206451,
2014-12-11 03:56:22.000000,play_video,717.193975,,,,717.193975,
2014-12-11 03:56:27.000000,seek_video,,,,681.32411,,onSlideSeek
2014-12-11 03:56:50.000000,play_video,749.909752,,,,749.909752,
2014-12-11 03:56:50.000000,play_video,743,,,,743,
2014-12-11 03:56:53.000000,play_video,754.842853,,,,754.842853,
2014-12-11 03:56:57.000000,play_video,723.096649,,,,723.096649,
2014-12-11 03:56:59.000000,play_video,723.956315,,,,723.956315,
2014-12-11 03:57:05.000000,play_video,724.842738,,,,724.842738,
2014-12-11 03:57:06.000000,seek_video,,,,754.842853,,onCaptionSeek
2014-12-11 03:57:14.000000,play_video,728.621939,,,,728.621939,
2014-12-11 03:57:35.000000,play_video,764.816287,,,,764.816287,
2014-12-11 03:57:53.000000,pause_video,802.103675,,,,802.103675,
