wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-10-21 21:48:08.000000,load_video,None,,,,None,
2014-10-21 21:48:11.000000,speed_change_video,None,1.0,1.25,,None,
2014-10-21 21:48:15.000000,play_video,0,,,,0,
2014-10-21 21:48:25.000000,pause_video,9.973147,,,,9.973147,
2014-10-21 21:48:25.000000,stop_video,9.973147,,,,9.973147,
2014-11-07 05:51:50.000000,load_video,None,,,,None,
2014-11-07 07:23:29.000000,load_video,None,,,,None,
2014-11-07 07:23:37.000000,play_video,9,,,,9,
2014-11-07 07:23:38.000000,pause_video,9.932432,,,,9.932432,
2014-11-07 07:23:38.000000,stop_video,9.932432,,,,9.932432,
2014-11-07 07:23:39.000000,seek_video,,,,9.932432,,onSlideSeek
2014-11-07 07:23:39.000000,play_video,1,,,,1,
