wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-10-24 06:41:27.000000,load_video,None,,,,None,
2014-10-24 06:41:31.000000,play_video,0,,,,0,
2014-10-24 06:46:54.000000,pause_video,322.342731,,,,322.342731,
2014-10-24 06:47:18.000000,play_video,322.342731,,,,322.342731,
2014-10-24 06:50:25.000000,pause_video,508.486576,,,,508.486576,
2014-10-24 06:50:38.000000,play_video,508.486576,,,,508.486576,
2014-10-24 06:51:36.000000,pause_video,566.435296,,,,566.435296,
2014-10-24 06:51:36.000000,stop_video,566.435296,,,,566.435296,
2014-11-15 23:40:51.000000,load_video,None,,,,None,
2014-11-15 23:47:37.000000,play_video,0,,,,0,
2014-11-15 23:52:40.000000,seek_video,,,,302.926847,,onSlideSeek
2014-11-15 23:52:41.000000,play_video,302.926847,,,,302.926847,
2014-11-15 23:52:42.000000,seek_video,,,,292.536981,,onSlideSeek
2014-11-15 23:52:42.000000,play_video,292.536981,,,,292.536981,
2014-11-15 23:52:45.000000,seek_video,,,,287.728244,,onSlideSeek
2014-11-15 23:52:46.000000,play_video,287.728244,,,,287.728244,
2014-11-15 23:54:15.000000,pause_video,369.974767,,,,369.974767,
2014-11-16 00:02:02.000000,play_video,369.974767,,,,369.974767,
2014-11-16 00:05:15.000000,pause_video,562.744053,,,,562.744053,
2014-11-16 00:05:29.000000,play_video,562.744053,,,,562.744053,
2014-11-16 00:05:33.000000,pause_video,566.459652,,,,566.459652,
2014-11-16 00:05:33.000000,stop_video,566.459652,,,,566.459652,
2014-12-06 16:41:45.000000,load_video,None,,,,None,
2014-12-06 16:41:59.000000,play_video,0,,,,0,
2014-12-06 16:48:17.000000,pause_video,566.212742,,,,566.212742,
2014-12-06 16:48:18.000000,stop_video,566.212742,,,,566.212742,
