wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-10-21 05:09:23.000000,load_video,None,,,,None,
2014-10-21 05:09:32.000000,play_video,0,,,,0,
2014-10-21 05:11:05.000000,seek_video,,,,115.521964,,onSlideSeek
2014-10-21 05:11:05.000000,play_video,115.521964,,,,115.521964,
2014-10-21 05:11:06.000000,seek_video,,,,103.64077,,onSlideSeek
2014-10-21 05:11:06.000000,play_video,103.64077,,,,103.64077,
2014-10-21 05:11:10.000000,seek_video,,,,97.208559,,onSlideSeek
2014-10-21 05:11:10.000000,play_video,97.208559,,,,97.208559,
2014-10-21 05:13:41.000000,pause_video,297.173043,,,,297.173043,
2014-10-21 05:14:55.000000,play_video,297.173043,,,,297.173043,
2014-10-21 05:15:40.000000,pause_video,352.736267,,,,352.736267,
2014-10-21 05:15:40.000000,stop_video,352.736267,,,,352.736267,
