wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_old_time,video_current_time,video_seek_type
2014-10-22 08:50:30.000000,load_video,None,,,,None,
2014-10-22 08:50:33.000000,play_video,0,,,,0,
2014-10-22 08:50:34.000000,seek_video,,,,0.899,,onSlideSeek
2014-10-22 08:50:35.000000,play_video,0.899,,,,0.899,
2014-10-22 08:50:36.000000,seek_video,,,,9.299,,onSlideSeek
2014-10-22 08:50:36.000000,play_video,9.299,,,,9.299,
2014-10-22 08:50:38.000000,play_video,24.879,,,,24.879,
2014-10-22 08:50:41.000000,seek_video,,,,27.97602,,onSlideSeek
2014-10-22 08:50:41.000000,play_video,27.97602,,,,27.97602,
2014-10-22 08:50:45.000000,seek_video,,,,38.279,,onSlideSeek
2014-10-22 08:50:45.000000,play_video,38.279,,,,38.279,
2014-10-22 08:50:47.000000,seek_video,,,,46.439,,onSlideSeek
2014-10-22 08:50:48.000000,play_video,46.439,,,,46.439,
2014-10-22 08:50:50.000000,seek_video,,,,43.619,,onSlideSeek
2014-10-22 08:50:50.000000,play_video,43.619,,,,43.619,
2014-10-22 08:50:51.000000,seek_video,,,,41.019,,onSlideSeek
2014-10-22 08:50:51.000000,play_video,41.019,,,,41.019,
2014-10-22 08:51:09.000000,pause_video,55.401,,,,55.401,
