wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-11-24 09:29:48.000000,load_video,None,,,,None,
2014-11-26 08:58:48.000000,load_video,None,,,,None,
2014-11-26 09:27:14.000000,load_video,None,,,,None,
2014-11-26 09:27:24.000000,load_video,None,,,,None,
2014-11-26 09:30:28.000000,play_video,0,,,,0,
2014-11-26 09:31:35.000000,pause_video,83.38287,,,,83.38287,
2014-11-26 09:32:04.000000,play_video,83.38287,,,,83.38287,
2014-11-26 09:32:31.000000,seek_video,,,,118.182678,,onSlideSeek
2014-11-26 09:32:32.000000,play_video,118.182678,,,,118.182678,
2014-11-26 09:32:32.000000,pause_video,106.548283,,,,106.548283,
2014-11-26 09:32:47.000000,play_video,106.548283,,,,106.548283,
2014-11-26 09:37:35.000000,pause_video,466.155959,,,,466.155959,
2014-11-26 09:37:35.000000,stop_video,466.155959,,,,466.155959,
