wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-11-12 05:25:21.000000,load_video,None,,,,None,
2014-11-20 21:22:47.000000,load_video,None,,,,None,
2014-11-20 21:22:53.000000,play_video,0,,,,0,
2014-11-20 21:33:00.000000,pause_video,606.979493,,,,606.979493,
2014-11-20 22:01:19.000000,play_video,606.979493,,,,606.979493,
2014-11-20 22:01:42.000000,pause_video,631.0524,,,,631.0524,
2014-11-20 22:03:51.000000,play_video,631.0524,,,,631.0524,
2014-11-20 22:07:23.000000,seek_video,,,,842.941044,,onSlideSeek
2014-11-20 22:07:23.000000,play_video,842.941044,,,,842.941044,
2014-11-20 22:15:32.000000,pause_video,1195.130481,,,,1195.130481,
2014-11-20 22:15:32.000000,stop_video,1195.130481,,,,1195.130481,
2014-12-09 02:15:55.000000,load_video,None,,,,None,
2014-12-09 02:59:08.000000,play_video,0,,,,0,
2014-12-09 18:51:00.000000,load_video,None,,,,None,
2014-12-09 18:51:04.000000,play_video,34,,,,34,
2014-12-09 18:54:57.000000,pause_video,266.569651,,,,266.569651,
2014-12-09 18:55:40.000000,play_video,266.569651,,,,266.569651,
2014-12-09 18:57:51.000000,pause_video,397.593985,,,,397.593985,
2014-12-09 18:58:50.000000,play_video,397.593985,,,,397.593985,
2014-12-09 18:59:47.000000,pause_video,454.786341,,,,454.786341,
2014-12-09 19:02:18.000000,play_video,454.786341,,,,454.786341,
2014-12-09 19:02:19.000000,pause_video,455.68029,,,,455.68029,
2014-12-09 19:02:59.000000,play_video,455.68029,,,,455.68029,
2014-12-09 19:06:24.000000,pause_video,660.170896,,,,660.170896,
2014-12-09 19:07:21.000000,play_video,660.170896,,,,660.170896,
2014-12-09 19:16:16.000000,pause_video,1195.137824,,,,1195.137824,
2014-12-09 19:16:16.000000,stop_video,1195.137824,,,,1195.137824,
