wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_old_time,video_current_time,video_seek_type
2014-10-22 19:24:22.000000,load_video,None,,,,None,
2014-10-22 19:24:48.000000,play_video,0,,,,0,
2014-10-22 19:38:20.000000,pause_video,810.294555664,,,,810.294555664,
2014-10-22 19:38:43.000000,play_video,810.294555664,,,,810.294555664,
2014-12-09 22:20:18.000000,load_video,None,,,,None,
2014-12-09 22:36:03.000000,load_video,None,,,,None,
2014-12-09 22:36:05.000000,play_video,810,,,,810,
2014-12-09 22:36:15.000000,seek_video,,,,819.982629,,onSlideSeek
2014-12-09 22:36:15.000000,play_video,15,,,,15,
2014-12-09 22:36:31.000000,speed_change_video,None,1.25,1.0,,None,
2014-12-09 22:36:43.000000,pause_video,46.09425,,,,46.09425,
2014-12-09 22:41:25.000000,play_video,46.09425,,,,46.09425,
2014-12-09 22:42:10.000000,pause_video,102.836173,,,,102.836173,
2014-12-09 22:42:41.000000,play_video,102.836173,,,,102.836173,
2014-12-09 22:44:28.000000,pause_video,235.708048,,,,235.708048,
2014-12-09 22:46:25.000000,play_video,235.708048,,,,235.708048,
