wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-10-01 16:19:39.000000,load_video,None,,,,None,
2014-10-01 16:23:16.000000,load_video,None,,,,None,
2014-10-01 16:24:38.000000,play_video,0,,,,0,
2014-10-01 16:24:40.000000,seek_video,,,,1.753625,,onSlideSeek
2014-10-01 16:24:40.000000,play_video,1.753625,,,,1.753625,
2014-10-01 16:24:42.000000,seek_video,,,,63.638923,,onSlideSeek
2014-10-01 16:24:42.000000,play_video,63.638923,,,,63.638923,
2014-10-01 16:24:48.000000,speed_change_video,None,1.50,1.25,,None,
2014-10-01 16:26:25.000000,pause_video,200.561146,,,,200.561146,
2014-10-01 16:27:07.000000,play_video,200.561146,,,,200.561146,
2014-10-01 16:27:19.000000,pause_video,218.117145,,,,218.117145,
2014-10-01 16:27:34.000000,play_video,218.117145,,,,218.117145,
2014-10-01 16:27:35.000000,seek_video,,,,219.513479,,onSlideSeek
2014-10-01 16:27:35.000000,play_video,219.513479,,,,219.513479,
2014-10-01 16:27:35.000000,seek_video,,,,247.420532,,onSlideSeek
2014-10-01 16:27:36.000000,play_video,247.420532,,,,247.420532,
2014-10-01 16:28:43.000000,pause_video,379.522673,,,,379.522673,
2014-10-01 16:30:04.000000,play_video,379.522673,,,,379.522673,
2014-10-01 16:31:04.000000,pause_video,469.837214,,,,469.837214,
2014-10-01 16:31:06.000000,play_video,469.837214,,,,469.837214,
2014-10-01 16:31:06.000000,pause_video,469.931506,,,,469.931506,
2014-10-01 16:31:07.000000,play_video,469.931506,,,,469.931506,
2014-10-01 16:33:47.000000,pause_video,709.954006,,,,709.954006,
2014-10-01 16:33:48.000000,stop_video,709.954006,,,,709.954006,
