wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-09-24 23:59:27.000000,load_video,None,,,,None,
2014-09-24 23:59:29.000000,play_video,0,,,,0,
2014-09-24 23:59:30.000000,seek_video,,,,0.936,,onSlideSeek
2014-09-24 23:59:31.000000,play_video,0.936,,,,0.936,
2014-09-24 23:59:38.000000,seek_video,,,,268.523997,,onSlideSeek
2014-09-24 23:59:39.000000,play_video,268.523997,,,,268.523997,
2014-09-24 23:59:39.000000,seek_video,,,,444.745981,,onSlideSeek
2014-09-24 23:59:40.000000,play_video,444.745981,,,,444.745981,
2014-09-24 23:59:40.000000,seek_video,,,,576.517987,,onSlideSeek
2014-09-24 23:59:40.000000,play_video,576.517987,,,,576.517987,
2014-09-24 23:59:42.000000,seek_video,,,,688.617995,,onSlideSeek
2014-09-24 23:59:42.000000,play_video,688.617995,,,,688.617995,
2014-09-24 23:59:43.000000,seek_video,,,,308.906998,,onSlideSeek
2014-09-24 23:59:43.000000,play_video,308.906998,,,,308.906998,
2014-09-24 23:59:44.000000,seek_video,,,,153.52199,,onSlideSeek
2014-09-24 23:59:44.000000,play_video,153.52199,,,,153.52199,
