wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_old_time,video_current_time,video_seek_type
2014-10-08 02:22:24.000000,load_video,None,,,,None,
2014-10-08 02:24:55.000000,load_video,None,,,,None,
2014-10-08 02:25:00.000000,play_video,0,,,,0,
2014-10-08 02:26:37.000000,pause_video,192.974315,,,,192.974315,
2014-10-08 04:27:54.000000,play_video,192.974315,,,,192.974315,
2014-10-08 04:27:57.000000,pause_video,199.111576,,,,199.111576,
2014-10-08 04:28:06.000000,seek_video,,,,199.111576,,onSlideSeek
2014-10-08 04:28:07.000000,play_video,1,,,,1,
2014-10-08 04:29:47.000000,pause_video,201.357995,,,,201.357995,
2014-10-08 04:29:47.000000,stop_video,201.357995,,,,201.357995,
2014-10-08 04:30:04.000000,load_video,None,,,,None,
