wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_old_time,video_current_time,video_seek_type
2014-10-01 03:53:57.000000,load_video,None,,,,None,
2014-10-01 05:33:51.000000,load_video,None,,,,None,
2014-10-01 05:33:53.000000,play_video,0,,,,0,
2014-10-01 05:34:54.000000,seek_video,,,,91.145132,,onSlideSeek
2014-10-01 05:34:54.000000,play_video,91.145132,,,,91.145132,
2014-10-01 05:34:58.000000,seek_video,,,,100.999018,,onSlideSeek
2014-10-01 05:34:58.000000,play_video,100.999018,,,,100.999018,
2014-10-01 05:35:02.000000,seek_video,,,,116.134955,,onSlideSeek
2014-10-01 05:35:02.000000,play_video,116.134955,,,,116.134955,
2014-10-01 05:35:24.000000,seek_video,,,,157.984743,,onSlideSeek
2014-10-01 05:35:24.000000,play_video,157.984743,,,,157.984743,
2014-10-01 05:35:25.000000,seek_video,,,,167.910003,,onSlideSeek
2014-10-01 05:35:26.000000,play_video,167.910003,,,,167.910003,
2014-10-01 05:35:27.000000,seek_video,,,,182.896802,,onSlideSeek
2014-10-01 05:35:27.000000,play_video,182.896802,,,,182.896802,
2014-10-01 05:35:28.000000,seek_video,,,,198.390974,,onSlideSeek
2014-10-01 05:35:28.000000,play_video,198.390974,,,,198.390974,
2014-10-01 05:35:30.000000,seek_video,,,,213.457129,,onSlideSeek
2014-10-01 05:35:30.000000,play_video,213.457129,,,,213.457129,
2014-10-01 05:36:13.000000,seek_video,,,,289.388215,,onSlideSeek
2014-10-01 05:36:14.000000,play_video,289.388215,,,,289.388215,
2014-10-01 05:36:18.000000,seek_video,,,,318.796158,,onSlideSeek
2014-10-01 05:36:18.000000,play_video,318.796158,,,,318.796158,
2014-10-01 05:37:01.000000,seek_video,,,,391.382593,,onSlideSeek
2014-10-01 05:37:01.000000,play_video,391.382593,,,,391.382593,
2014-10-01 05:37:10.000000,seek_video,,,,410.228419,,onSlideSeek
2014-10-01 05:37:10.000000,play_video,410.228419,,,,410.228419,
2014-10-01 05:37:11.000000,seek_video,,,,399.802175,,onSlideSeek
2014-10-01 05:37:11.000000,play_video,399.802175,,,,399.802175,
2014-10-01 05:37:53.000000,pause_video,449.043415,,,,449.043415,
2014-10-01 05:37:53.000000,stop_video,449.043415,,,,449.043415,
2014-10-03 21:42:34.000000,load_video,None,,,,None,
2014-10-03 21:42:41.000000,load_video,None,,,,None,
