wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_old_time,video_current_time,video_seek_type
2014-10-01 03:54:52.000000,load_video,None,,,,None,
2014-10-02 22:17:54.000000,load_video,None,,,,None,
2014-10-03 02:44:20.000000,load_video,None,,,,None,
2014-10-03 02:44:22.000000,play_video,0,,,,0,
2014-10-03 02:47:35.000000,pause_video,289.419503,,,,289.419503,
2014-10-03 02:47:58.000000,play_video,289.419503,,,,289.419503,
2014-10-03 02:49:10.000000,pause_video,396.238239,,,,396.238239,
2014-10-03 02:49:34.000000,play_video,396.238239,,,,396.238239,
2014-10-03 02:49:50.000000,pause_video,420.754621,,,,420.754621,
2014-10-03 02:50:08.000000,play_video,420.754621,,,,420.754621,
2014-10-03 02:50:48.000000,pause_video,481.146265,,,,481.146265,
2014-10-03 02:50:48.000000,stop_video,481.146265,,,,481.146265,
2014-10-03 05:10:25.000000,load_video,None,,,,None,
2014-10-03 05:10:28.000000,play_video,0,,,,0,
2014-10-03 05:10:30.000000,seek_video,,,,2.55387,,onSlideSeek
2014-10-03 05:10:30.000000,play_video,2.55387,,,,2.55387,
2014-10-03 05:10:31.000000,seek_video,,,,25.722192,,onSlideSeek
2014-10-03 05:10:31.000000,play_video,25.722192,,,,25.722192,
2014-10-03 05:10:31.000000,seek_video,,,,58.294876,,onSlideSeek
2014-10-03 05:10:32.000000,play_video,58.294876,,,,58.294876,
2014-10-03 05:10:32.000000,seek_video,,,,103.829815,,onSlideSeek
2014-10-03 05:10:33.000000,play_video,103.829815,,,,103.829815,
2014-10-03 05:10:34.000000,seek_video,,,,135.956333,,onSlideSeek
2014-10-03 05:10:34.000000,play_video,135.956333,,,,135.956333,
2014-10-03 05:10:35.000000,seek_video,,,,167.23514,,onSlideSeek
2014-10-03 05:10:36.000000,play_video,167.23514,,,,167.23514,
2014-10-03 05:10:36.000000,seek_video,,,,189.853532,,onSlideSeek
2014-10-03 05:10:36.000000,play_video,189.853532,,,,189.853532,
2014-10-03 05:10:37.000000,seek_video,,,,217.555316,,onSlideSeek
2014-10-03 05:10:37.000000,play_video,217.555316,,,,217.555316,
2014-10-03 05:10:38.000000,seek_video,,,,255.91665,,onSlideSeek
2014-10-03 05:10:38.000000,play_video,255.91665,,,,255.91665,
2014-10-03 05:10:39.000000,seek_video,,,,293.984288,,onSlideSeek
2014-10-03 05:10:39.000000,play_video,293.984288,,,,293.984288,
2014-10-03 05:10:40.000000,seek_video,,,,323.702975,,onSlideSeek
2014-10-03 05:10:40.000000,play_video,323.702975,,,,323.702975,
2014-10-03 05:10:41.000000,seek_video,,,,359.049388,,onSlideSeek
2014-10-03 05:10:41.000000,play_video,359.049388,,,,359.049388,
2014-10-03 05:10:42.000000,seek_video,,,,391.832182,,onSlideSeek
2014-10-03 05:10:42.000000,play_video,391.832182,,,,391.832182,
2014-10-03 05:10:43.000000,seek_video,,,,417.926961,,onSlideSeek
2014-10-03 05:10:43.000000,play_video,417.926961,,,,417.926961,
2014-10-03 05:13:38.000000,load_video,None,,,,None,
2014-10-03 05:13:40.000000,play_video,445,,,,445,
2014-10-03 05:13:42.000000,seek_video,,,,447.907612,,onSlideSeek
2014-10-03 05:13:42.000000,play_video,447.907612,,,,447.907612,
2014-10-03 05:13:43.000000,seek_video,,,,51.337274,,onSlideSeek
2014-10-03 05:13:43.000000,play_video,51.337274,,,,51.337274,
2014-10-03 05:13:45.000000,seek_video,,,,101.637657,,onSlideSeek
2014-10-03 05:13:45.000000,play_video,101.637657,,,,101.637657,
2014-10-03 05:13:46.000000,seek_video,,,,131.787557,,onSlideSeek
2014-10-03 05:13:47.000000,play_video,131.787557,,,,131.787557,
2014-10-03 05:13:48.000000,seek_video,,,,195.123419,,onSlideSeek
2014-10-03 05:13:48.000000,play_video,195.123419,,,,195.123419,
2014-10-03 05:13:50.000000,seek_video,,,,245.836711,,onSlideSeek
2014-10-03 05:13:50.000000,play_video,245.836711,,,,245.836711,
2014-10-03 05:13:51.000000,pause_video,295.211044,,,,295.211044,
2014-10-03 05:13:56.000000,seek_video,,,,295.211044,,onSlideSeek
2014-10-03 05:14:01.000000,seek_video,,,,342,,onSlideSeek
2014-10-03 05:14:09.000000,seek_video,,,,411,,onSlideSeek
2014-10-03 06:44:02.000000,load_video,None,,,,None,
2014-10-03 06:44:04.000000,play_video,452,,,,452,
2014-10-03 06:44:06.000000,seek_video,,,,454.467236,,onSlideSeek
2014-10-03 06:44:06.000000,play_video,454.467236,,,,454.467236,
2014-10-03 06:44:10.000000,pause_video,173.096548,,,,173.096548,
2014-10-03 06:44:43.000000,load_video,None,,,,None,
2014-10-03 06:44:44.000000,play_video,173,,,,173,
2014-10-03 06:44:46.000000,seek_video,,,,175.139981,,onSlideSeek
2014-10-03 06:44:46.000000,play_video,175.139981,,,,175.139981,
2014-10-03 06:44:53.000000,seek_video,,,,73,,onSlideSeek
2014-10-03 06:45:04.000000,seek_video,,,,73,,onSlideSeek
2014-10-03 06:45:06.000000,play_video,73,,,,73,
2014-10-03 06:45:06.000000,pause_video,71.602385,,,,71.602385,
2014-10-03 21:41:41.000000,load_video,None,,,,None,
2014-10-22 06:14:53.000000,load_video,None,,,,None,
2014-10-22 06:14:54.000000,play_video,71,,,,71,
2014-10-22 06:14:55.000000,seek_video,,,,72.354906,,onSlideSeek
2014-10-22 06:14:55.000000,play_video,72.354906,,,,72.354906,
2014-10-22 06:14:58.000000,seek_video,,,,25.552042,,onSlideSeek
2014-10-22 06:14:58.000000,play_video,25.552042,,,,25.552042,
2014-10-22 06:15:00.000000,seek_video,,,,46.113124,,onSlideSeek
2014-10-22 06:15:00.000000,play_video,46.113124,,,,46.113124,
2014-10-22 06:15:07.000000,seek_video,,,,80.128605,,onSlideSeek
2014-10-22 06:15:08.000000,play_video,80.128605,,,,80.128605,
2014-10-22 06:15:13.000000,seek_video,,,,101.473185,,onSlideSeek
2014-10-22 06:15:13.000000,play_video,101.473185,,,,101.473185,
2014-10-22 06:15:15.000000,seek_video,,,,113.093987,,onSlideSeek
2014-10-22 06:15:15.000000,play_video,113.093987,,,,113.093987,
2014-10-22 06:15:20.000000,seek_video,,,,138.428159,,onSlideSeek
2014-10-22 06:15:20.000000,play_video,138.428159,,,,138.428159,
2014-10-22 06:15:27.000000,seek_video,,,,156.028888,,onSlideSeek
2014-10-22 06:15:27.000000,play_video,156.028888,,,,156.028888,
2014-10-22 06:15:29.000000,seek_video,,,,171.838249,,onSlideSeek
2014-10-22 06:15:29.000000,play_video,171.838249,,,,171.838249,
2014-10-22 06:15:54.000000,seek_video,,,,232.726714,,onSlideSeek
2014-10-22 06:15:54.000000,play_video,232.726714,,,,232.726714,
2014-10-22 06:15:57.000000,seek_video,,,,247.793707,,onSlideSeek
2014-10-22 06:15:57.000000,play_video,247.793707,,,,247.793707,
2014-10-22 06:16:01.000000,seek_video,,,,265.967181,,onSlideSeek
2014-10-22 06:16:01.000000,play_video,265.967181,,,,265.967181,
2014-10-22 06:16:04.000000,seek_video,,,,283.924878,,onSlideSeek
2014-10-22 06:16:05.000000,play_video,283.924878,,,,283.924878,
2014-10-22 06:16:15.000000,seek_video,,,,316.427217,,onSlideSeek
2014-10-22 06:16:15.000000,play_video,316.427217,,,,316.427217,
2014-10-22 06:16:16.000000,seek_video,,,,316.711412,,onSlideSeek
2014-10-22 06:16:16.000000,play_video,316.711412,,,,316.711412,
2014-10-22 06:16:20.000000,seek_video,,,,342.84637,,onSlideSeek
2014-10-22 06:16:20.000000,play_video,342.84637,,,,342.84637,
2014-10-22 06:16:38.000000,pause_video,393.445688,,,,393.445688,
2014-10-22 06:16:49.000000,play_video,393.445688,,,,393.445688,
2014-10-22 06:16:54.000000,pause_video,403.074683,,,,403.074683,
2014-10-22 06:18:53.000000,play_video,403.074683,,,,403.074683,
2014-10-22 06:18:58.000000,pause_video,414.028693,,,,414.028693,
2014-10-22 06:19:01.000000,play_video,414.028693,,,,414.028693,
