wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_old_time,video_current_time,video_seek_type
2014-11-26 07:39:31.000000,load_video,None,,,,None,
2014-11-26 07:51:58.000000,load_video,None,,,,None,
2014-11-26 07:52:04.000000,play_video,0,,,,0,
2014-11-26 08:01:28.000000,pause_video,844.284449,,,,844.284449,
2014-11-26 08:01:28.000000,stop_video,844.284449,,,,844.284449,
2014-11-26 08:56:04.000000,load_video,None,,,,None,
2014-11-28 19:53:13.000000,load_video,None,,,,None,
2014-11-28 19:53:16.000000,play_video,0,,,,0,
2014-11-28 19:56:01.000000,pause_video,246.65364,,,,246.65364,
2014-11-28 19:56:02.000000,seek_video,,,,246.65364,,onSlideSeek
2014-11-28 19:57:05.000000,play_video,141,,,,141,
2014-11-28 20:04:55.000000,pause_video,844.610118,,,,844.610118,
2014-11-28 20:04:55.000000,stop_video,844.610118,,,,844.610118,
