video_current_time,pause_time
0,0
385,0
1282,0
771,0
518,1.0
1287,13.0
520,732.0
535,0
397,0
1517,0
400,1.0
401,0
1298,5.0
387,245.0
404,0
407,0
641,0
922,0
411,0.0
413,1.0
415,15.0
418,0
27,26.0
36,0
421,18.0
1446,0
423,0
1321,0
391,0
786,0
561,0
51,0
565,0
56,0
1239,0
826,21.0
949,0
1515,0
704,36.0
2,0
708,123.0
758,0
1482,0
715,0
1487,57.0
594,3.0
419,1.0
468,0
599,0.0
1240,0
420,7.0
1498,29.0
477,11.0
94,0
993,0
1506,2.0
1251,0
741,50.0
877,0
747,279.0
850,1.0
370,0
595,0
246,1.0
759,0
888,190.0
532,727.0
378,0
959,0
252,6.0
