wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-10-21 16:29:10.000000,load_video,None,,,,None,
2014-10-21 16:29:12.000000,play_video,0,,,,0,
2014-10-21 16:29:35.000000,pause_video,46.114442,,,,46.114442,
2014-10-21 16:30:27.000000,play_video,46.114442,,,,46.114442,
2014-10-21 16:33:51.000000,pause_video,453.460102,,,,453.460102,
2014-10-21 16:34:34.000000,play_video,453.460102,,,,453.460102,
2014-10-21 16:35:17.000000,pause_video,539.127014,,,,539.127014,
2014-10-21 16:36:09.000000,play_video,539.127014,,,,539.127014,
2014-10-21 16:36:44.000000,pause_video,608.261012,,,,608.261012,
2014-10-21 16:37:15.000000,play_video,608.261012,,,,608.261012,
