wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-10-08 08:21:50.000000,load_video,None,,,,None,
2014-10-08 18:17:13.000000,load_video,None,,,,None,
2014-10-08 18:17:17.000000,play_video,0,,,,0,
2014-10-08 18:19:56.000000,pause_video,316.864875,,,,316.864875,
2014-10-08 18:20:04.000000,play_video,316.864875,,,,316.864875,
2014-10-08 18:20:16.000000,pause_video,342.04702,,,,342.04702,
2014-10-08 18:20:29.000000,play_video,342.04702,,,,342.04702,
2014-10-08 18:22:10.000000,seek_video,,,,543.235041,,onSlideSeek
2014-10-08 18:22:10.000000,play_video,543.235041,,,,543.235041,
2014-10-08 18:22:46.000000,seek_video,,,,584.476124,,onSlideSeek
2014-10-08 18:22:46.000000,play_video,584.476124,,,,584.476124,
2014-10-08 18:22:47.000000,seek_video,,,,551.210554,,onSlideSeek
2014-10-08 18:22:48.000000,play_video,551.210554,,,,551.210554,
2014-10-08 18:22:48.000000,seek_video,,,,550.907928,,onSlideSeek
2014-10-08 18:22:48.000000,play_video,550.907928,,,,550.907928,
2014-10-08 18:24:20.000000,seek_video,,,,706.535953,,onSlideSeek
2014-10-08 18:24:20.000000,play_video,706.535953,,,,706.535953,
2014-10-08 18:24:21.000000,seek_video,,,,704.247,,onSlideSeek
2014-10-08 18:24:21.000000,play_video,704.247,,,,704.247,
2014-10-08 18:24:22.000000,seek_video,,,,685.448037,,onSlideSeek
2014-10-08 18:24:22.000000,play_video,685.448037,,,,685.448037,
2014-10-08 18:24:24.000000,seek_video,,,,687.451016,,onSlideSeek
2014-10-08 18:24:25.000000,play_video,687.451016,,,,687.451016,
2014-10-08 18:24:25.000000,seek_video,,,,662.56502,,onSlideSeek
2014-10-08 18:24:26.000000,play_video,662.56502,,,,662.56502,
2014-10-08 18:24:27.000000,seek_video,,,,664.24602,,onSlideSeek
2014-10-08 18:24:27.000000,play_video,664.24602,,,,664.24602,
2014-10-08 18:24:29.000000,seek_video,,,,644.135889,,onSlideSeek
2014-10-08 18:24:30.000000,play_video,644.135889,,,,644.135889,
2014-10-08 18:24:31.000000,seek_video,,,,623.774424,,onSlideSeek
2014-10-08 18:24:31.000000,play_video,623.774424,,,,623.774424,
2014-10-08 18:24:33.000000,seek_video,,,,626.879299,,onSlideSeek
2014-10-08 18:24:33.000000,play_video,626.879299,,,,626.879299,
2014-10-08 18:24:34.000000,seek_video,,,,600.030157,,onSlideSeek
2014-10-08 18:24:34.000000,play_video,600.030157,,,,600.030157,
2014-10-08 18:26:16.000000,pause_video,783.38961,,,,783.38961,
2014-10-08 18:26:28.000000,play_video,783.38961,,,,783.38961,
2014-11-09 05:46:52.000000,load_video,None,,,,None,
2014-11-09 05:47:04.000000,seek_video,,,,909,,onSlideSeek
2014-11-09 05:47:08.000000,play_video,639,,,,639,
2014-11-09 05:47:12.000000,seek_video,,,,644.865394,,onSlideSeek
2014-11-09 05:47:12.000000,play_video,644.865394,,,,644.865394,
2014-11-09 05:47:15.000000,seek_video,,,,575.3993,,onSlideSeek
2014-11-09 05:47:16.000000,play_video,575.3993,,,,575.3993,
2014-11-09 05:47:20.000000,seek_video,,,,881.36586,,onSlideSeek
2014-11-09 05:47:20.000000,play_video,881.36586,,,,881.36586,
2014-11-09 05:47:22.000000,pause_video,775.863032,,,,775.863032,
