wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_old_time,video_current_time,video_seek_type
2014-11-29 17:28:47.000000,load_video,None,,,,None,
2014-11-29 17:28:53.000000,play_video,0,,,,0,
2014-11-29 17:30:55.000000,seek_video,,,,243.31202,,onSlideSeek
2014-11-29 17:30:55.000000,play_video,243.31202,,,,243.31202,
2014-11-29 17:30:58.000000,seek_video,,,,278.571692,,onSlideSeek
2014-11-29 17:30:58.000000,play_video,278.571692,,,,278.571692,
2014-11-29 17:31:47.000000,seek_video,,,,420.237631,,onSlideSeek
2014-11-29 17:31:47.000000,play_video,420.237631,,,,420.237631,
2014-11-29 17:31:52.000000,seek_video,,,,466.465012,,onSlideSeek
2014-11-29 17:31:52.000000,play_video,466.465012,,,,466.465012,
2014-11-29 17:32:04.000000,seek_video,,,,543.843226,,onSlideSeek
2014-11-29 17:32:04.000000,play_video,543.843226,,,,543.843226,
2014-11-29 17:32:06.000000,seek_video,,,,571.659018,,onSlideSeek
2014-11-29 17:32:06.000000,play_video,571.659018,,,,571.659018,
2014-11-29 17:32:07.000000,pause_video,589.21067,,,,589.21067,
