wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-11-19 06:15:07.000000,load_video,None,,,,None,
2014-11-19 06:15:09.000000,play_video,0,,,,0,
2014-11-19 06:15:14.000000,pause_video,4.969674,,,,4.969674,
2014-11-19 06:15:27.000000,play_video,4.969674,,,,4.969674,
2014-11-19 06:20:15.000000,pause_video,365.12391,,,,365.12391,
2014-11-19 06:29:15.000000,play_video,365.12391,,,,365.12391,
2014-11-19 06:35:41.000000,seek_video,,,,841.997012,,onSlideSeek
2014-11-19 06:35:42.000000,play_video,841.997012,,,,841.997012,
2014-11-19 06:35:50.000000,seek_video,,,,803.957999,,onSlideSeek
2014-11-19 06:35:51.000000,play_video,803.957999,,,,803.957999,
2014-11-19 06:35:54.000000,seek_video,,,,771.966024,,onSlideSeek
2014-11-19 06:35:54.000000,play_video,771.966024,,,,771.966024,
2014-11-19 06:36:00.000000,seek_video,,,,749.714876,,onSlideSeek
2014-11-19 06:36:00.000000,play_video,749.714876,,,,749.714876,
2014-11-19 06:36:20.000000,seek_video,,,,786.033984,,onSlideSeek
2014-11-19 06:36:20.000000,play_video,786.033984,,,,786.033984,
2014-11-19 06:36:30.000000,seek_video,,,,801.010242,,onSlideSeek
2014-11-19 06:36:30.000000,play_video,801.010242,,,,801.010242,
2014-11-19 06:36:30.000000,seek_video,,,,823.487288,,onSlideSeek
2014-11-19 06:36:31.000000,play_video,823.487288,,,,823.487288,
2014-11-19 06:36:31.000000,seek_video,,,,831.64595,,onSlideSeek
2014-11-19 06:36:31.000000,play_video,831.64595,,,,831.64595,
2014-11-25 22:04:23.000000,load_video,None,,,,None,
2014-11-25 22:04:31.000000,play_video,841,,,,841,
2014-11-25 22:04:34.000000,pause_video,844.69427,,,,844.69427,
2014-11-25 22:04:35.000000,stop_video,844.69427,,,,844.69427,
2014-11-25 22:04:35.000000,seek_video,,,,844.69427,,onSlideSeek
2014-11-25 22:04:35.000000,play_video,15,,,,15,
2014-11-25 22:04:36.000000,play_video,15,,,,15,
2014-11-25 22:05:35.000000,seek_video,,,,87.380453,,onSlideSeek
2014-11-25 22:05:35.000000,play_video,87.380453,,,,87.380453,
2014-11-25 22:07:01.000000,pause_video,245.404361,,,,245.404361,
2014-11-25 22:07:01.000000,play_video,245.404361,,,,245.404361,
2014-11-25 22:07:08.000000,seek_video,,,,253.05687,,onSlideSeek
2014-11-25 22:07:08.000000,play_video,253.05687,,,,253.05687,
2014-11-25 22:07:11.000000,seek_video,,,,284.012151,,onSlideSeek
2014-11-25 22:07:12.000000,play_video,284.012151,,,,284.012151,
2014-11-25 22:07:13.000000,seek_video,,,,319.389107,,onSlideSeek
2014-11-25 22:07:13.000000,play_video,319.389107,,,,319.389107,
2014-11-25 22:07:16.000000,pause_video,300.402101,,,,300.402101,
2014-11-25 22:07:17.000000,seek_video,,,,300.402101,,onSlideSeek
2014-11-25 22:07:17.000000,play_video,340,,,,340,
2014-11-25 22:07:41.000000,seek_video,,,,369.719876,,onSlideSeek
2014-11-25 22:07:42.000000,play_video,369.719876,,,,369.719876,
2014-11-25 22:07:46.000000,pause_video,420.666334,,,,420.666334,
2014-11-25 22:07:47.000000,play_video,420.666334,,,,420.666334,
2014-11-25 22:07:56.000000,pause_video,432.339025,,,,432.339025,
2014-11-25 22:08:06.000000,play_video,432.339025,,,,432.339025,
2014-11-25 22:08:22.000000,pause_video,451.961866,,,,451.961866,
2014-11-25 22:08:22.000000,play_video,451.961866,,,,451.961866,
2014-11-25 22:08:28.000000,pause_video,458.405422,,,,458.405422,
2014-11-25 22:08:28.000000,play_video,458.405422,,,,458.405422,
2014-11-25 22:08:31.000000,pause_video,462.239781,,,,462.239781,
2014-11-25 22:08:32.000000,play_video,462.239781,,,,462.239781,
2014-11-25 22:08:45.000000,pause_video,479.458095,,,,479.458095,
2014-11-25 22:08:46.000000,play_video,479.458095,,,,479.458095,
2014-11-25 22:09:14.000000,seek_video,,,,514.340644,,onSlideSeek
2014-11-25 22:09:14.000000,play_video,514.340644,,,,514.340644,
2014-11-25 22:09:15.000000,seek_video,,,,550.095402,,onSlideSeek
2014-11-25 22:09:15.000000,play_video,550.095402,,,,550.095402,
2014-11-25 22:09:17.000000,seek_video,,,,577.414479,,onSlideSeek
2014-11-25 22:09:17.000000,play_video,577.414479,,,,577.414479,
2014-11-25 22:09:18.000000,seek_video,,,,620.884403,,onSlideSeek
2014-11-25 22:09:18.000000,play_video,620.884403,,,,620.884403,
2014-11-25 22:09:21.000000,seek_video,,,,667.399181,,onSlideSeek
2014-11-25 22:09:21.000000,play_video,667.399181,,,,667.399181,
2014-11-25 22:10:49.000000,load_video,None,,,,None,
2014-11-25 22:54:03.000000,load_video,None,,,,None,
2014-12-10 00:39:06.000000,load_video,None,,,,None,
2014-12-10 00:39:16.000000,load_video,None,,,,None,
2014-12-11 16:25:20.000000,load_video,None,,,,None,
2014-12-11 16:25:24.000000,play_video,817,,,,817,
2014-12-11 16:25:26.000000,seek_video,,,,819.092359,,onSlideSeek
2014-12-11 16:25:27.000000,play_video,78,,,,78,
2014-12-11 16:25:30.000000,seek_video,,,,81.6672,,onSlideSeek
2014-12-11 16:25:31.000000,play_video,161,,,,161,
2014-12-11 16:25:45.000000,seek_video,,,,177.366362,,onSlideSeek
2014-12-11 16:25:45.000000,play_video,177.685626,,,,177.685626,
2014-12-11 16:25:50.000000,seek_video,,,,237.337242,,onSlideSeek
2014-12-11 16:25:50.000000,play_video,237.656506,,,,237.656506,
2014-12-11 16:25:53.000000,seek_video,,,,294.421658,,onSlideSeek
2014-12-11 16:25:53.000000,play_video,294.740922,,,,294.740922,
2014-12-11 16:25:55.000000,pause_video,329.173626,,,,329.173626,
2014-12-11 16:26:03.000000,play_video,329.173626,,,,329.173626,
2014-12-11 16:26:06.000000,seek_video,,,,332.192122,,onSlideSeek
2014-12-11 16:26:06.000000,play_video,332.511386,,,,332.511386,
2014-12-11 16:26:07.000000,seek_video,,,,358.157786,,onSlideSeek
