wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_old_time,video_current_time,video_seek_type
2014-12-10 08:31:38.000000,load_video,None,,,,None,
2014-12-10 08:35:55.000000,play_video,0,,,,0,
2014-12-10 08:36:01.000000,pause_video,7.165754,,,,7.165754,
2014-12-10 08:36:08.000000,play_video,7.165754,,,,7.165754,
2014-12-10 08:36:20.000000,speed_change_video,None,1.0,1.25,,None,
2014-12-10 08:38:22.000000,pause_video,143.856772,,,,143.856772,
2014-12-10 08:38:36.000000,load_video,None,,,,None,
2014-12-10 08:38:49.000000,load_video,None,,,,None,
2014-12-10 08:38:52.000000,play_video,143,,,,143,
2014-12-10 08:39:47.000000,seek_video,,,,197.608549,,onSlideSeek
2014-12-10 08:39:47.000000,play_video,197.863958,,,,197.863958,
2014-12-10 08:40:53.000000,seek_video,,,,246.312508,,onSlideSeek
2014-12-10 08:40:53.000000,play_video,246.312508,,,,246.312508,
2014-12-10 08:51:21.000000,pause_video,800.63025,,,,800.63025,
2014-12-10 08:52:29.000000,play_video,800.63025,,,,800.63025,
2014-12-10 09:00:49.000000,speed_change_video,None,1.25,1.0,,None,
2014-12-10 09:01:23.000000,speed_change_video,None,1.50,1.25,,None,
2014-12-10 09:06:31.000000,pause_video,1804.62554,,,,1804.62554,
2014-12-10 09:06:31.000000,stop_video,1804.62554,,,,1804.62554,
