wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-09-26 07:52:08.000000,load_video,None,,,,None,
2014-10-22 19:11:10.000000,load_video,None,,,,None,
2014-10-22 19:11:12.000000,play_video,0,,,,0,
2014-10-22 19:15:32.000000,seek_video,,,,519.94815,,onSlideSeek
2014-10-22 19:15:32.000000,play_video,519.94815,,,,519.94815,
2014-10-22 19:15:39.000000,seek_video,,,,519.772396,,onSlideSeek
2014-10-22 19:15:40.000000,play_video,519.772396,,,,519.772396,
2014-10-22 19:15:49.000000,pause_video,510.290616,,,,510.290616,
2014-10-22 19:15:49.000000,play_video,510.290616,,,,510.290616,
2014-10-22 19:15:59.000000,pause_video,528.933499,,,,528.933499,
2014-10-22 19:15:59.000000,stop_video,528.933499,,,,528.933499,
