wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-11-12 18:37:54.000000,load_video,None,,,,None,
2014-11-12 18:37:56.000000,play_video,0,,,,0,
2014-11-12 18:37:59.000000,seek_video,,,,4.042674,,onSlideSeek
2014-11-12 18:37:59.000000,play_video,4.042674,,,,4.042674,
2014-11-12 18:38:00.000000,seek_video,,,,102.325368,,onSlideSeek
2014-11-12 18:38:00.000000,play_video,102.325368,,,,102.325368,
2014-11-12 18:38:01.000000,seek_video,,,,138.004412,,onSlideSeek
2014-11-12 18:38:01.000000,play_video,138.004412,,,,138.004412,
2014-11-12 18:39:41.000000,seek_video,,,,343.127711,,onSlideSeek
2014-11-12 18:39:42.000000,play_video,343.127711,,,,343.127711,
2014-11-12 18:39:43.000000,seek_video,,,,378.978502,,onSlideSeek
2014-11-12 18:39:43.000000,play_video,378.978502,,,,378.978502,
2014-11-12 18:39:48.000000,seek_video,,,,415.177951,,onSlideSeek
2014-11-12 18:39:49.000000,play_video,415.177951,,,,415.177951,
2014-11-12 18:39:51.000000,seek_video,,,,450.554879,,onSlideSeek
2014-11-12 18:39:51.000000,play_video,450.554879,,,,450.554879,
2014-11-12 18:39:56.000000,seek_video,,,,486.977436,,onSlideSeek
2014-11-12 18:39:56.000000,play_video,486.977436,,,,486.977436,
2014-11-12 18:40:03.000000,seek_video,,,,541.868,,onSlideSeek
2014-11-12 18:40:04.000000,play_video,541.868,,,,541.868,
2014-11-12 18:40:14.000000,seek_video,,,,584.681546,,onSlideSeek
2014-11-12 18:40:14.000000,play_video,584.681546,,,,584.681546,
2014-11-12 18:40:15.000000,seek_video,,,,585.58067,,onSlideSeek
2014-11-12 18:40:15.000000,play_video,585.58067,,,,585.58067,
2014-11-12 18:40:17.000000,seek_video,,,,633.396282,,onSlideSeek
2014-11-12 18:40:17.000000,play_video,633.396282,,,,633.396282,
2014-11-12 18:40:37.000000,seek_video,,,,693.372159,,onSlideSeek
2014-11-12 18:40:37.000000,play_video,693.372159,,,,693.372159,
2014-11-12 18:40:42.000000,seek_video,,,,728.505902,,onSlideSeek
2014-11-12 18:40:43.000000,play_video,728.505902,,,,728.505902,
2014-11-12 18:41:09.000000,seek_video,,,,795.945757,,onSlideSeek
2014-11-12 18:41:09.000000,play_video,795.945757,,,,795.945757,
2014-11-12 18:41:13.000000,seek_video,,,,827.479799,,onSlideSeek
2014-11-12 18:41:13.000000,play_video,827.479799,,,,827.479799,
2014-11-12 18:41:14.000000,seek_video,,,,827.892072,,onSlideSeek
2014-11-12 18:41:14.000000,play_video,827.892072,,,,827.892072,
2014-11-12 18:41:17.000000,seek_video,,,,862.50092,,onSlideSeek
2014-11-12 18:41:18.000000,play_video,862.50092,,,,862.50092,
2014-11-12 18:41:19.000000,seek_video,,,,908.501792,,onSlideSeek
2014-11-12 18:41:19.000000,play_video,908.501792,,,,908.501792,
2014-11-12 18:41:21.000000,seek_video,,,,936.747497,,onSlideSeek
2014-11-12 18:41:21.000000,play_video,936.747497,,,,936.747497,
2014-11-12 18:41:23.000000,seek_video,,,,975.971444,,onSlideSeek
2014-11-12 18:41:23.000000,play_video,975.971444,,,,975.971444,
2014-11-12 18:41:27.000000,seek_video,,,,1003.425892,,onSlideSeek
2014-11-12 18:41:27.000000,play_video,1003.425892,,,,1003.425892,
2014-11-12 18:41:28.000000,seek_video,,,,1032.941607,,onSlideSeek
2014-11-12 18:41:28.000000,play_video,1032.941607,,,,1032.941607,
2014-11-12 18:41:35.000000,seek_video,,,,1065.639278,,onSlideSeek
2014-11-12 18:41:36.000000,play_video,1065.639278,,,,1065.639278,
2014-11-12 18:41:39.000000,seek_video,,,,1102.590213,,onSlideSeek
2014-11-12 18:41:39.000000,play_video,1102.590213,,,,1102.590213,
2014-12-10 00:46:28.000000,load_video,None,,,,None,
2014-12-10 00:46:48.000000,play_video,1150,,,,1150,
2014-12-10 00:46:53.000000,seek_video,,,,1155.93432,,onSlideSeek
2014-12-10 00:46:53.000000,play_video,18,,,,18,
2014-12-10 00:48:10.000000,pause_video,133.134845,,,,133.134845,
2014-12-10 00:48:13.000000,play_video,133.134845,,,,133.134845,
2014-12-10 00:49:45.000000,speed_change_video,None,2.0,1.50,,None,
2014-12-10 00:50:09.000000,speed_change_video,None,1.50,2.0,,None,
2014-12-10 00:51:55.000000,pause_video,477.849408,,,,477.849408,
2014-12-10 00:52:16.000000,play_video,477.849408,,,,477.849408,
2014-12-10 00:55:10.000000,pause_video,739.345543,,,,739.345543,
2014-12-10 01:05:27.000000,play_video,739.345543,,,,739.345543,
2014-12-10 01:07:33.000000,pause_video,927.944581,,,,927.944581,
2014-12-10 01:07:43.000000,play_video,927.944581,,,,927.944581,
2014-12-10 01:07:44.000000,pause_video,928.501848,,,,928.501848,
2014-12-10 01:07:46.000000,play_video,928.501848,,,,928.501848,
2014-12-10 01:08:34.000000,pause_video,999.83164,,,,999.83164,
2014-12-10 01:08:53.000000,play_video,999.83164,,,,999.83164,
2014-12-10 01:11:03.000000,pause_video,1195.048188,,,,1195.048188,
2014-12-10 01:11:03.000000,stop_video,1195.048188,,,,1195.048188,
