wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-10-08 08:19:56.000000,load_video,None,,,,None,
2014-10-08 08:19:58.000000,play_video,0,,,,0,
2014-10-08 08:20:44.000000,seek_video,,,,56.860383,,onSlideSeek
2014-10-08 08:20:44.000000,play_video,56.860383,,,,56.860383,
2014-10-08 08:20:45.000000,seek_video,,,,6.174028,,onSlideSeek
2014-10-08 08:20:45.000000,play_video,6.174028,,,,6.174028,
2014-10-08 08:22:30.000000,pause_video,131.632813,,,,131.632813,
2014-10-08 08:25:30.000000,play_video,131.632813,,,,131.632813,
2014-10-08 08:26:35.000000,pause_video,213.156563,,,,213.156563,
2014-10-08 08:26:35.000000,stop_video,213.156563,,,,213.156563,
