wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_old_time,video_current_time,video_seek_type
2015-04-04 01:38:34.000000,load_video,None,,,,None,
2015-04-04 01:38:43.000000,play_video,0,,,,0,
2015-04-04 01:38:44.000000,pause_video,0.921,,,,0.921,
2015-04-04 01:38:51.000000,play_video,0.921,,,,0.921,
2015-04-04 01:39:08.000000,seek_video,,,,17.661,,onSlideSeek
2015-04-04 01:39:08.000000,play_video,17.661,,,,17.661,
2015-04-04 01:39:17.000000,pause_video,108.921,,,,108.921,
2015-04-04 01:39:46.000000,play_video,108.921,,,,108.921,
2015-04-04 01:39:56.000000,seek_video,,,,119.08,,onSlideSeek
2015-04-04 01:39:56.000000,play_video,119.08,,,,119.08,
2015-04-04 01:39:57.000000,pause_video,218.4,,,,218.4,
