wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_old_time,video_current_time,video_seek_type
2014-10-09 20:41:24.000000,load_video,None,,,,None,
2014-10-09 20:52:38.000000,play_video,0,,,,0,
2014-10-09 20:54:28.000000,pause_video,110.341999,,,,110.341999,
2014-10-09 20:54:28.000000,stop_video,110.341999,,,,110.341999,
2014-10-09 21:03:20.000000,load_video,None,,,,None,
2014-10-09 21:03:21.000000,play_video,0,,,,0,
2014-10-09 21:03:22.000000,seek_video,,,,0.182,,onSlideSeek
2014-10-09 21:03:23.000000,play_video,0.182,,,,0.182,
2014-10-09 21:03:24.000000,pause_video,67.861985,,,,67.861985,
2014-10-09 21:03:25.000000,play_video,67.861985,,,,67.861985,
2014-10-09 21:03:28.000000,seek_video,,,,70.307985,,onSlideSeek
2014-10-09 21:03:28.000000,play_video,70.307985,,,,70.307985,
2014-10-09 21:03:57.000000,pause_video,110.405995,,,,110.405995,
2014-10-09 21:03:57.000000,stop_video,110.405995,,,,110.405995,
2014-10-20 15:41:31.000000,load_video,None,,,,None,
