wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-11-18 18:38:41.000000,load_video,None,,,,None,
2014-11-18 18:48:14.000000,play_video,0,,,,0,
2014-11-18 18:49:08.000000,pause_video,54.272842,,,,54.272842,
2014-11-18 23:17:33.000000,play_video,54.272842,,,,54.272842,
2014-11-18 23:17:51.000000,pause_video,72.305156,,,,72.305156,
2014-11-18 23:17:51.000000,play_video,72.305156,,,,72.305156,
2014-11-18 23:17:55.000000,pause_video,76.062844,,,,76.062844,
2014-11-18 23:17:56.000000,play_video,76.062844,,,,76.062844,
2014-11-18 23:18:07.000000,pause_video,87.325899,,,,87.325899,
2014-11-18 23:18:08.000000,play_video,87.325899,,,,87.325899,
2014-11-18 23:19:05.000000,pause_video,144.136137,,,,144.136137,
2014-11-18 23:20:31.000000,play_video,144.136137,,,,144.136137,
2014-11-18 23:21:10.000000,pause_video,182.897803,,,,182.897803,
2014-11-18 23:22:14.000000,play_video,182.897803,,,,182.897803,
2014-11-18 23:22:24.000000,pause_video,193.320794,,,,193.320794,
2014-11-18 23:22:24.000000,play_video,193.320794,,,,193.320794,
2014-11-18 23:22:40.000000,pause_video,209.322703,,,,209.322703,
2014-11-18 23:22:41.000000,play_video,209.322703,,,,209.322703,
2014-11-18 23:22:42.000000,pause_video,210.341756,,,,210.341756,
2014-11-18 23:22:43.000000,play_video,210.341756,,,,210.341756,
2014-11-18 23:23:18.000000,pause_video,244.778472,,,,244.778472,
2014-11-18 23:23:19.000000,play_video,244.778472,,,,244.778472,
2014-11-18 23:24:50.000000,pause_video,335.807644,,,,335.807644,
2014-11-18 23:24:50.000000,play_video,335.807644,,,,335.807644,
2014-11-18 23:25:14.000000,pause_video,359.777924,,,,359.777924,
2014-11-18 23:26:11.000000,play_video,359.777924,,,,359.777924,
2014-11-18 23:26:12.000000,pause_video,360.726407,,,,360.726407,
2014-11-18 23:26:22.000000,play_video,360.726407,,,,360.726407,
2014-11-18 23:27:26.000000,seek_video,,,,424.752913,,onSlideSeek
2014-11-18 23:27:26.000000,play_video,424.752913,,,,424.752913,
2014-11-18 23:27:27.000000,pause_video,386.822549,,,,386.822549,
2014-11-18 23:27:42.000000,play_video,386.822549,,,,386.822549,
2014-11-18 23:27:43.000000,seek_video,,,,387.96929,,onSlideSeek
2014-11-18 23:27:43.000000,play_video,387.96929,,,,387.96929,
2014-11-18 23:27:45.000000,seek_video,,,,404.549218,,onSlideSeek
2014-11-18 23:27:45.000000,play_video,404.549218,,,,404.549218,
2014-11-18 23:30:09.000000,pause_video,559.872463,,,,559.872463,
2014-11-18 23:30:13.000000,play_video,559.872463,,,,559.872463,
2014-11-18 23:30:28.000000,pause_video,575.755566,,,,575.755566,
2014-11-18 23:41:46.000000,play_video,575.755566,,,,575.755566,
2014-11-18 23:46:31.000000,pause_video,861.614541,,,,861.614541,
2014-11-18 23:46:31.000000,stop_video,861.614541,,,,861.614541,
2014-11-20 21:35:31.000000,load_video,None,,,,None,
2014-11-20 21:35:35.000000,play_video,0,,,,0,
2014-11-20 21:49:58.000000,pause_video,860.995388,,,,860.995388,
2014-11-20 21:49:59.000000,stop_video,860.995388,,,,860.995388,
