wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_old_time,video_current_time,video_seek_type
2014-10-01 16:49:10.000000,load_video,None,,,,None,
2014-10-01 16:49:15.000000,play_video,0,,,,0,
2014-10-01 16:49:22.000000,seek_video,,,,5.669364,,onSlideSeek
2014-10-01 16:49:22.000000,play_video,5.669364,,,,5.669364,
2014-10-01 16:50:19.000000,seek_video,,,,127.555444,,onSlideSeek
2014-10-01 16:50:19.000000,play_video,127.555444,,,,127.555444,
2014-10-01 16:50:21.000000,seek_video,,,,164.358618,,onSlideSeek
2014-10-01 16:50:22.000000,play_video,164.358618,,,,164.358618,
2014-10-01 16:50:27.000000,seek_video,,,,169.539301,,onSlideSeek
2014-10-01 16:50:28.000000,play_video,169.539301,,,,169.539301,
2014-10-01 16:50:31.000000,seek_video,,,,215.351173,,onSlideSeek
2014-10-01 16:50:31.000000,play_video,215.351173,,,,215.351173,
2014-10-01 16:50:42.000000,seek_video,,,,272.802523,,onSlideSeek
2014-10-01 16:50:42.000000,play_video,272.802523,,,,272.802523,
2014-10-01 16:51:11.000000,seek_video,,,,349.18211,,onSlideSeek
2014-10-01 16:51:11.000000,play_video,349.18211,,,,349.18211,
2014-10-01 16:51:18.000000,seek_video,,,,388.965523,,onSlideSeek
2014-10-01 16:51:18.000000,play_video,388.965523,,,,388.965523,
2014-10-01 16:51:40.000000,seek_video,,,,451.005601,,onSlideSeek
2014-10-01 16:51:41.000000,play_video,451.005601,,,,451.005601,
2014-10-01 16:51:42.000000,seek_video,,,,493.936397,,onSlideSeek
2014-10-01 16:51:42.000000,play_video,493.936397,,,,493.936397,
2014-10-01 16:51:43.000000,seek_video,,,,520.477253,,onSlideSeek
2014-10-01 16:51:43.000000,play_video,520.477253,,,,520.477253,
2014-10-01 16:51:44.000000,seek_video,,,,463.171046,,onSlideSeek
2014-10-01 16:51:45.000000,play_video,463.171046,,,,463.171046,
2014-10-01 16:51:49.000000,seek_video,,,,515.758523,,onSlideSeek
2014-10-01 16:51:49.000000,play_video,515.758523,,,,515.758523,
2014-10-01 16:51:49.000000,seek_video,,,,515,,onSlideSeek
2014-10-01 16:51:49.000000,play_video,515,,,,515,
2014-10-01 16:51:50.000000,seek_video,,,,512,,onSlideSeek
2014-10-01 16:51:50.000000,play_video,512,,,,512,
2014-10-01 16:51:50.000000,seek_video,,,,509.438618,,onSlideSeek
2014-10-01 16:51:50.000000,play_video,509.438618,,,,509.438618,
2014-10-01 16:51:52.000000,seek_video,,,,530.118253,,onSlideSeek
2014-10-01 16:51:52.000000,play_video,530.118253,,,,530.118253,
2014-10-01 16:51:52.000000,seek_video,,,,504,,onSlideSeek
2014-10-01 16:51:52.000000,play_video,504,,,,504,
2014-10-01 16:52:09.000000,speed_change_video,None,1.25,1.0,,None,
2014-10-01 16:52:11.000000,speed_change_video,None,1.50,1.25,,None,
2014-10-01 16:53:44.000000,load_video,None,,,,None,
2014-10-01 16:56:56.000000,load_video,None,,,,None,
2014-10-01 16:57:00.000000,play_video,630,,,,630,
2014-10-01 16:58:05.000000,seek_video,,,,727.346545,,onSlideSeek
2014-10-01 16:58:05.000000,play_video,727.346545,,,,727.346545,
2014-10-01 16:58:07.000000,seek_video,,,,802.360757,,onSlideSeek
2014-10-01 16:58:07.000000,play_video,802.360757,,,,802.360757,
2014-10-01 16:58:18.000000,seek_video,,,,818.018533,,onSlideSeek
2014-10-01 16:58:18.000000,play_video,818.018533,,,,818.018533,
2014-10-01 17:00:49.000000,seek_video,,,,1113.267737,,onSlideSeek
2014-10-01 17:00:49.000000,play_video,1113.267737,,,,1113.267737,
2014-10-01 17:00:51.000000,seek_video,,,,1200.628544,,onSlideSeek
2014-10-01 17:00:51.000000,play_video,1200.628544,,,,1200.628544,
2014-10-01 17:00:54.000000,seek_video,,,,1282.171299,,onSlideSeek
2014-10-01 17:00:55.000000,play_video,1282.171299,,,,1282.171299,
