wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_old_time,video_current_time,video_seek_type
2014-10-01 05:17:48.000000,load_video,None,,,,None,
2014-10-01 05:17:51.000000,play_video,0,,,,0,
2014-10-01 05:18:07.000000,load_video,None,,,,None,
2014-10-01 05:18:08.000000,play_video,0,,,,0,
2014-10-01 05:18:16.000000,pause_video,7.381529,,,,7.381529,
2014-10-01 06:53:29.000000,play_video,7.381529,,,,7.381529,
2014-10-01 06:53:30.000000,pause_video,8.782113,,,,8.782113,
2014-10-01 06:59:40.000000,play_video,8.782113,,,,8.782113,
2014-10-01 06:59:41.000000,pause_video,9.472077,,,,9.472077,
2014-10-03 03:47:25.000000,load_video,None,,,,None,
